parkhaus,link,status,freieplaetze,offen,zeitpunkt
Parkgarage am Central / Seilergraben,https://www.pls-zh.ch/parkhaus/central.jsp?pid=central,open /    8,   8,open ,2019-11-18 20:45
Parkhaus Accu / Otto-Schütz-Weg,https://www.pls-zh.ch/parkhaus/accu.jsp?pid=accu,open /  127, 127,open ,2019-11-18 20:45
Parkhaus Albisriederplatz / Badenerstrasse 380,https://www.pls-zh.ch/parkhaus/albisriederplatz.jsp?pid=albisriederplatz,open /   62,  62,open ,2019-11-18 20:45
Parkhaus Bleicherweg / Beethovenstrasse 35,https://www.pls-zh.ch/parkhaus/bleicherweg.jsp?pid=bleicherweg,open /  136, 136,open ,2019-11-18 20:45
Parkhaus Center Eleven / Sophie-Täuber-Strasse 4,https://www.pls-zh.ch/parkhaus/center_11.jsp?pid=center_11,open /  262, 262,open ,2019-11-18 20:45
Parkhaus City Parking / Gessnerallee 14,https://www.pls-zh.ch/parkhaus/cp.jsp?pid=cp,open /  427, 427,open ,2019-11-18 20:45
Parkhaus Cityport / Affolternstrasse 56,https://www.pls-zh.ch/parkhaus/cityport.jsp?pid=cityport,open /  104, 104,open ,2019-11-18 20:45
Parkhaus Crowne Plaza / Badenerstrasse 420,https://www.pls-zh.ch/parkhaus/crowne_plaza.jsp?pid=crowne_plaza,open /  418, 418,open ,2019-11-18 20:45
Parkhaus Dorflinde / Schwamendingenstrasse 31,https://www.pls-zh.ch/parkhaus/dorflinde.jsp?pid=dorflinde,open /   48,  48,open ,2019-11-18 20:45
Parkhaus Feldegg / Riesbachstrasse 7,https://www.pls-zh.ch/parkhaus/feldegg.jsp?pid=feldegg,open /  112, 112,open ,2019-11-18 20:45
Parkhaus Globus / Löwenstrasse 50,https://www.pls-zh.ch/parkhaus/globus.jsp?pid=globus,open /  104, 104,open ,2019-11-18 20:45
Parkhaus Hardau II / Bullingerstrasse 73,https://www.pls-zh.ch/parkhaus/hardau.jsp?pid=hardau,open /   84,  84,open ,2019-11-18 20:45
Parkhaus Hauptbahnhof / Sihlquai 41,https://www.pls-zh.ch/parkhaus/hb.jsp?pid=hb,open /  112, 112,open ,2019-11-18 20:45
Parkhaus Hohe Promenade / Rämistrasse 22a,https://www.pls-zh.ch/parkhaus/promenade.jsp?pid=promenade,open /  388, 388,open ,2019-11-18 20:45
Parkhaus Jelmoli / Steinmühleplatz 1,https://www.pls-zh.ch/parkhaus/jelmoli.jsp?pid=jelmoli,open /  110, 110,open ,2019-11-18 20:45
Parkhaus Jungholz / Jungholzstrasse 19,https://www.pls-zh.ch/parkhaus/jungholz.jsp?pid=jungholz,open /    0,   0,open ,2019-11-18 20:45
Parkhaus Max-Bill-Platz / Armin-Bollinger-Weg,https://www.pls-zh.ch/parkhaus/max_bill_platz.jsp?pid=max_bill_platz,open /   88,  88,open ,2019-11-18 20:45
Parkhaus Messe Zürich AG / Andreasstrasse 65,https://www.pls-zh.ch/parkhaus/messe.jsp?pid=messe,closed / ---,---,closed ,2019-11-18 20:45
Parkhaus Nordhaus / Siewerdtstrasse 8,https://www.pls-zh.ch/parkhaus/nordhaus.jsp?pid=nordhaus,open /  110, 110,open ,2019-11-18 20:45
Parkhaus Octavo / Brown-Boveri-Strasse 2,https://www.pls-zh.ch/parkhaus/octavo.jsp?pid=octavo,open /  122, 122,open ,2019-11-18 20:45
Parkhaus Opéra / Schillerstrasse 5,https://www.pls-zh.ch/parkhaus/opera.jsp?pid=opera,open /  170, 170,open ,2019-11-18 20:45
Parkhaus P West / Förrlibuckstrasse 151,https://www.pls-zh.ch/parkhaus/p_west.jsp?pid=p_west,open /  322, 322,open ,2019-11-18 20:45
Parkhaus Park Hyatt / Beethovenstrasse 21,https://www.pls-zh.ch/parkhaus/park_hyatt.jsp?pid=park_hyatt,open /  192, 192,open ,2019-11-18 20:45
Parkhaus Parkside / Sophie-Täuber-Strasse 10,https://www.pls-zh.ch/parkhaus/parkside.jsp?pid=parkside,open /    0,   0,open ,2019-11-18 20:45
Parkhaus Pfingstweid / Pfingstweidstrasse 1,https://www.pls-zh.ch/parkhaus/pfingstweid.jsp?pid=pfingstweid,open /  175, 175,open ,2019-11-18 20:45
Parkhaus Stampfenbach / Niklausstrasse 1,https://www.pls-zh.ch/parkhaus/stampfenbach.jsp?pid=stampfenbach,open /  162, 162,open ,2019-11-18 20:45
Parkhaus Talgarten / Nüschelerstrasse 31,https://www.pls-zh.ch/parkhaus/talgarten.jsp?pid=talgarten,open /   15,  15,open ,2019-11-18 20:45
Parkhaus USZ Nord / Frauenklinikstrasse,https://www.pls-zh.ch/parkhaus/unispital_nord.jsp?pid=unispital_nord,open /  107, 107,open ,2019-11-18 20:45
Parkhaus Uni Irchel / Winterthurerstrasse 181,https://www.pls-zh.ch/parkhaus/uni_irchel.jsp?pid=uni_irchel,open /  753, 753,open ,2019-11-18 20:45
Parkhaus Urania / Uraniastrasse 3,https://www.pls-zh.ch/parkhaus/urania.jsp?pid=urania,open /  287, 287,open ,2019-11-18 20:45
Parkhaus Utoquai / Färberstrasse 6,https://www.pls-zh.ch/parkhaus/utoquai.jsp?pid=utoquai,open /  128, 128,open ,2019-11-18 20:45
Parkhaus Züri 11 Shopping / Nansenstrasse 5/7,https://www.pls-zh.ch/parkhaus/zueri11.jsp?pid=zueri11,open /   58,  58,open ,2019-11-18 20:45
Parkhaus Zürichhorn / Dufourstrasse 142,https://www.pls-zh.ch/parkhaus/zuerichhorn.jsp?pid=zuerichhorn,open /   50,  50,open ,2019-11-18 20:45
Parkplatz Eisfeld / Thurgauerstrasse 54,https://www.pls-zh.ch/parkhaus/eisfeld.jsp?pid=eisfeld,open /  280, 280,open ,2019-11-18 20:45
Parkplatz Theater 11 / Dörfli-/Thurgauerstrasse,https://www.pls-zh.ch/parkhaus/theater_11.jsp?pid=theater_11,open /  154, 154,open ,2019-11-18 20:45
Parkplatz USZ Süd / Gloriastrasse,https://www.pls-zh.ch/parkhaus/unispital_sued.jsp?pid=unispital_sued,open /   55,  55,open ,2019-11-18 20:45
Puls 5 Parkgarage / Giessereistrasse 18,https://www.pls-zh.ch/parkhaus/puls5.jsp?pid=puls5,open /   19,  19,open ,2019-11-18 20:45
