parkhaus,link,status,freieplaetze,offen,zeitpunkt
Parkgarage am Central / Seilergraben,https://www.pls-zh.ch/parkhaus/central.jsp?pid=central,closed / ---,---,closed ,2019-11-10 15:45
Parkhaus Accu / Otto-Schütz-Weg,https://www.pls-zh.ch/parkhaus/accu.jsp?pid=accu,open /   67,  67,open ,2019-11-10 15:45
Parkhaus Albisriederplatz / Badenerstrasse 380,https://www.pls-zh.ch/parkhaus/albisriederplatz.jsp?pid=albisriederplatz,open /   20,  20,open ,2019-11-10 15:45
Parkhaus Bleicherweg / Beethovenstrasse 35,https://www.pls-zh.ch/parkhaus/bleicherweg.jsp?pid=bleicherweg,open /  190, 190,open ,2019-11-10 15:45
Parkhaus Center Eleven / Sophie-Täuber-Strasse 4,https://www.pls-zh.ch/parkhaus/center_11.jsp?pid=center_11,open /  246, 246,open ,2019-11-10 15:45
Parkhaus City Parking / Gessnerallee 14,https://www.pls-zh.ch/parkhaus/cp.jsp?pid=cp,open /  437, 437,open ,2019-11-10 15:45
Parkhaus Cityport / Affolternstrasse 56,https://www.pls-zh.ch/parkhaus/cityport.jsp?pid=cityport,open /   92,  92,open ,2019-11-10 15:45
Parkhaus Crowne Plaza / Badenerstrasse 420,https://www.pls-zh.ch/parkhaus/crowne_plaza.jsp?pid=crowne_plaza,open /  236, 236,open ,2019-11-10 15:45
Parkhaus Dorflinde / Schwamendingenstrasse 31,https://www.pls-zh.ch/parkhaus/dorflinde.jsp?pid=dorflinde,open /   47,  47,open ,2019-11-10 15:45
Parkhaus Feldegg / Riesbachstrasse 7,https://www.pls-zh.ch/parkhaus/feldegg.jsp?pid=feldegg,open /  114, 114,open ,2019-11-10 15:45
Parkhaus Globus / Löwenstrasse 50,https://www.pls-zh.ch/parkhaus/globus.jsp?pid=globus,open /   72,  72,open ,2019-11-10 15:45
Parkhaus Hardau II / Bullingerstrasse 73,https://www.pls-zh.ch/parkhaus/hardau.jsp?pid=hardau,open /   13,  13,open ,2019-11-10 15:45
Parkhaus Hauptbahnhof / Sihlquai 41,https://www.pls-zh.ch/parkhaus/hb.jsp?pid=hb,???? / ???,???,???? ,2019-11-10 15:45
Parkhaus Hohe Promenade / Rämistrasse 22a,https://www.pls-zh.ch/parkhaus/promenade.jsp?pid=promenade,open /  219, 219,open ,2019-11-10 15:45
Parkhaus Jelmoli / Steinmühleplatz 1,https://www.pls-zh.ch/parkhaus/jelmoli.jsp?pid=jelmoli,open /   64,  64,open ,2019-11-10 15:45
Parkhaus Jungholz / Jungholzstrasse 19,https://www.pls-zh.ch/parkhaus/jungholz.jsp?pid=jungholz,open /    9,   9,open ,2019-11-10 15:45
Parkhaus Max-Bill-Platz / Armin-Bollinger-Weg,https://www.pls-zh.ch/parkhaus/max_bill_platz.jsp?pid=max_bill_platz,open /   83,  83,open ,2019-11-10 15:45
Parkhaus Messe Zürich AG / Andreasstrasse 65,https://www.pls-zh.ch/parkhaus/messe.jsp?pid=messe,open /  999, 999,open ,2019-11-10 15:45
Parkhaus Nordhaus / Siewerdtstrasse 8,https://www.pls-zh.ch/parkhaus/nordhaus.jsp?pid=nordhaus,open /  113, 113,open ,2019-11-10 15:45
Parkhaus Octavo / Brown-Boveri-Strasse 2,https://www.pls-zh.ch/parkhaus/octavo.jsp?pid=octavo,open /  113, 113,open ,2019-11-10 15:45
Parkhaus Opéra / Schillerstrasse 5,https://www.pls-zh.ch/parkhaus/opera.jsp?pid=opera,open /    5,   5,open ,2019-11-10 15:45
Parkhaus P West / Förrlibuckstrasse 151,https://www.pls-zh.ch/parkhaus/p_west.jsp?pid=p_west,open /  319, 319,open ,2019-11-10 15:45
Parkhaus Park Hyatt / Beethovenstrasse 21,https://www.pls-zh.ch/parkhaus/park_hyatt.jsp?pid=park_hyatt,open /  207, 207,open ,2019-11-10 15:45
Parkhaus Parkside / Sophie-Täuber-Strasse 10,https://www.pls-zh.ch/parkhaus/parkside.jsp?pid=parkside,open /   36,  36,open ,2019-11-10 15:45
Parkhaus Pfingstweid / Pfingstweidstrasse 1,https://www.pls-zh.ch/parkhaus/pfingstweid.jsp?pid=pfingstweid,open /  154, 154,open ,2019-11-10 15:45
Parkhaus Stampfenbach / Niklausstrasse 1,https://www.pls-zh.ch/parkhaus/stampfenbach.jsp?pid=stampfenbach,open /  197, 197,open ,2019-11-10 15:45
Parkhaus Talgarten / Nüschelerstrasse 31,https://www.pls-zh.ch/parkhaus/talgarten.jsp?pid=talgarten,open /   82,  82,open ,2019-11-10 15:45
Parkhaus USZ Nord / Frauenklinikstrasse,https://www.pls-zh.ch/parkhaus/unispital_nord.jsp?pid=unispital_nord,open /   32,  32,open ,2019-11-10 15:45
