Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement,Block 1,Block 2
2011-07-13,2011/291,Marcel Schönbächler,CVP,Florian Utz,SP,Departement der Industriellen Betriebe (DIB),mitte,links
2009-10-28,2009/490,Fiammetta Jahreiss-Montagnani,SP,Christian Traber,CVP,Hochbaudepartement (HBD),links,mitte
2003-06-04,2003/183,Daniel Leupi,Grüne,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2016-06-08,2016/207,Marco Denoth,SP,Ann-Catherine Nabholz,GLP,Hochbaudepartement (HBD),links,mitte
2013-11-27,2013/424,Pascal Lamprecht,SP,Joachim Hagger,FDP,Zuteilung ausstehend,links,rechts
2013-11-13,2013/395,Roger Tognella,FDP,Dorothea Frei,SP,Sozialdepartement (SD),rechts,links
2000-11-01,2000/524,Hans-Ulrich Meier,FDP,Werner Sieg,SP,Hochbaudepartement (HBD),rechts,links
2018-08-29,2018/318,Stefan Urech,SVP,Urs Helfenstein,SP,Sicherheitsdepartement (SID),rechts,links
2011-03-30,2011/99,Gabriele Kisker,Grüne,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2016-05-18,2016/171,Markus Knauss,Grüne,Christian Traber,CVP,Polizeidepartement (PD),links,mitte
2006-02-08,2006/56,Pierino Cerliani,Grüne,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2019-11-27,2019/519,Nicole Giger,SP,Sven Sobernheim,GLP,Schul- und Sportdepartement (SSD),links,mitte
2004-09-22,2004/512,Franziska Graf,SP,Thomas  Kappeler,CVP,Gesundheits- und Umweltdepartement (GUD),links,mitte
2019-06-12,2019/257,Sven Sobernheim,GLP,Res Marti,Grüne,Sicherheitsdepartement (SID),mitte,links
2014-09-03,2014/274,Eduard Guggenheim,AL,Adrian Gautschi,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2007-06-13,2007/348,Albert Leiser,FDP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED),rechts,links
2006-02-01,2006/40,Salvatore Di Concilio,SP,Robert Schönbächler,CVP,Präsidialdepartement (PRD),links,mitte
2005-12-31,2005/39,Maya Burri-Wenger,SP,Gerold Lauber,CVP,Finanzdepartement (FD),links,mitte
2013-06-19,2013/234,Niklaus Scherr,AL,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2010-06-09,2010/254,Sacha Walker,GLP,Rebekka Wyler,SP,Polizeidepartement (PD),mitte,links
2004-12-15,2004/670,Hans Jörg Käppeli,SP,Kurt Maeder,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2010-05-26,2006/577,Pierino Cerliani,Grüne,Claudia Rabelbauer,EVP,Finanzdepartement (FD),links,mitte
2016-06-08,2016/205,Urs Egger,FDP,Anjushka Früh,SP,Schul- und Sportdepartement (SSD),rechts,links
2004-06-23,2004/328,Alexander Jäger,FDP,Pierino Cerliani,Grüne,Polizeidepartement (PD),rechts,links
2004-06-09,2004/300,Niklaus Scherr,AL,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2005-03-23,2005/107,Maya Burri-Wenger,SP,Roger Tognella,FDP,Polizeidepartement (PD),links,rechts
2010-01-13,2010/24,Hans Jörg Käppeli,SP,Ruth Ackermann,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2013-04-17,2013/156,Alan David Sangines,SP,Samuel Dubno,GLP,Sozialdepartement (SD),links,mitte
2019-01-23,2019/28,Markus Baumann,GLP,Marcel Tobler,SP,Sozialdepartement (SD),mitte,links
2006-12-06,2006/576,Pierino Cerliani,Grüne,Mario Mariani,CVP,Departement der Industriellen Betriebe (DIB),links,mitte
2003-10-01,2003/369,Daniel Leupi,Grüne,Christian Traber,CVP,Departement der Industriellen Betriebe (DIB),links,mitte
2013-10-30,2013/369,Marcel Schönbächler,CVP,Peter Küng,SP,Finanzdepartement (FD),mitte,links
2005-11-23,2005/489,Balthasar Glättli,Grüne,Gerold Lauber,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2004-12-15,2004/671,Hans Jörg Käppeli,SP,Kurt Maeder,CVP,Departement der Industriellen Betriebe (DIB),links,mitte
