,jahr,name,zufr,vorb_f,vorb_p,prob,urt,zus,konf
0,2015,Buelrain,4.9,4.2,4.3,4.2,4.2,4.6,4.0
1,2015,KME,4.9,4.0,4.4,4.1,4.3,4.3,3.7
2,2015,MNG Raemibuehl,4.5,4.6,3.7,3.8,3.8,4.1,3.6
3,2015,Hohe Promenade,5.0,4.4,4.8,4.6,4.5,4.8,4.1
4,2015,Zuercher Unterland,5.2,4.5,4.4,4.4,4.6,4.6,4.2
5,2015,Freudenberg,5.2,4.3,4.7,4.8,4.7,5.0,4.3
6,2015,KZO,4.9,4.3,4.5,4.3,4.4,4.8,4.0
7,2015,Realgymnasium Raemibuehl,5.1,4.1,4.9,4.6,4.9,5.0,4.7
8,2015,Liceo Artistico,5.0,4.0,5.1,4.9,5.3,5.3,4.7
9,2015,Hottingen,4.6,3.9,4.4,4.0,4.4,4.5,4.0
10,2015,Literaturgymnasium Raemibuehl,5.0,4.0,4.6,4.4,4.1,4.7,3.8
11,2015,Wiedikon,4.7,4.1,4.1,4.0,3.8,4.8,3.8
12,2015,Nord,4.8,4.1,4.3,4.1,4.2,4.9,4.0
13,2015,Rychenberg,4.8,4.3,4.2,4.3,3.9,4.4,3.6
14,2015,Limmattal,4.8,4.5,4.2,4.3,4.2,4.8,4.0
15,2015,Stadelhofen,4.6,3.8,4.3,4.4,4.3,4.8,4.1
16,2015,Uster,4.6,4.2,4.3,4.1,4.5,4.9,3.8
17,2015,im Lee,5.1,4.2,4.7,4.5,4.4,4.7,3.9
18,2015,Enge,4.5,3.8,4.2,4.3,4.3,4.6,4.0
19,2015,Kuesnacht,5.1,3.8,5.0,4.5,4.6,5.3,4.3
