,jahr,name,zufr,vorb_f,vorb_p,prob,urt,zus,konf
0,2009,Büelrain,4.9,4.4,4.4,4.7,4.8,4.3,4.2
1,2009,Enge,4.8,4.2,4.1,4.5,4.7,4.1,3.7
2,2009,Freies Gymnasium Zürich,4.6,3.5,3.9,4.0,4.6,3.9,3.8
3,2009,Freudenberg,4.6,4.4,4.1,4.5,4.5,4.4,3.5
4,2009,Glattal,4.7,4.2,4.2,4.4,4.7,4.2,3.9
5,2009,Gymnasium Unterstrass,5.0,3.6,4.8,4.5,4.7,4.6,4.2
6,2009,Hohe Promenade,4.8,4.5,4.5,4.2,4.2,4.2,4.0
7,2009,Hottingen,5.0,4.0,4.2,4.3,4.6,4.5,4.1
8,2009,Im Lee,4.7,4.4,4.3,4.5,4.5,4.1,3.8
9,2009,Gymnasium Zürich,4.6,4.3,3.9,4.8,5.2,4.9,3.9
10,2009,KME,4.9,4.1,4.4,4.3,4.3,3.7,3.3
11,2009,Küsnacht,5.3,4.3,4.7,4.6,4.8,4.3,4.1
12,2009,Liceo Artistico,4.8,3.9,4.4,4.7,5.2,4.5,4.6
13,2009,Limmattal,4.9,4.6,4.1,4.3,4.5,4.4,3.8
14,2009,Oerlikon,4.8,4.0,4.1,4.5,4.5,4.4,3.9
15,2009,Rämibühl LG,4.7,3.6,4.0,4.3,4.7,4.5,3.9
16,2009,Rämibühl MNG,4.8,4.7,4.1,4.5,4.6,4.0,3.7
17,2009,Rämibühl RG,4.9,4.0,4.3,4.4,4.6,4.5,4.1
18,2009,Rychenberg,4.9,4.1,4.5,4.4,4.7,4.4,3.8
19,2009,Stadelhofen,5.0,3.7,4.4,4.3,4.6,4.5,4.0
20,2009,Wiedikon,4.5,3.7,4.1,4.2,4.4,4.4,3.9
21,2009,Zürcher Oberland,4.9,4.2,4.3,4.4,4.6,4.3,3.9
22,2009,Zürcher Unterland,5.0,4.3,4.3,4.4,4.6,4.6,3.9
23,2009,Zürich Birch,4.7,4.5,4.8,4.9,4.9,4.9,4.9
