,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
1564,19.06.2019,2019/277,Balz Bürgisser,Grüne,Sebastian Vogel,FDP,Gemeinderat
1565,6.10.1999,1999/483,Werner Furrer,SVP,Rolf André Siegenthaler-Benz,SVP,Polizeidepartement (PD)
1566,6.10.1999,1999/497,Jürg Casparis,SVP,Raphaela-Franziska Ulcay-Hauser,SVP,Polizeidepartement (PD)
1567,18.11.2009,2009/539,Guido Bergmaier,SVP,Martin Bürlimann,SVP,
1568,11.11.2009,2009/520,Fiammetta Jahreiss-Montagnani,SP,Marianne Spieler Frauenfelder,SP,
1569,04.12.2019,2019/534,Patrik Maillard,AL,Natalie Eberle,AL,Stadtrat
1570,27.08.2014,2014/265,Markus Knauss,Grüne,Karin Rykart Sutter,Grüne,Hochbaudepartement (HBD)
1571,30.01.2008,2008/83,Martin Abele,Grüne,Monika Bloch Süss,CSP,Geschäftsbericht Stadtrat
1572,03.09.2014,2014/271,Peter Küng,SP,Florian Utz,SP,
1573,30.11.2011,2011/446,Isabel Garcia,GLP,Maleica Landolt,GLP,Schul- und Sportdepartement (SSD)
1574,13.6.2001,2001/334,Luzi Rüegg,SVP,Alexander Weber,SVP,Polizeidepartement (PD)
1575,27.11.2019,2019/520,Ezgi Akyol,AL,Luca Maggi,Grüne,
1576,05.06.2019,2019/246,Roger Bartholdi,SVP,Bernhard im Oberdorf,SVP,Stadtrat
1577,27.11.2019,2019/508,Marion Schmid,SP,Maria del Carmen Señorán,SVP,Stadtrat
1578,08.01.20,2002/546,Monika Erfigen,SVP,Mauro Tuena,SVP,
1579,26.06.2019,2019/291,Sebastian Vogel,FDP,Balz Bürgisser,Grüne,Gemeinderat
1580,6.5.1998,1998/138,Monjek Rosenheim,FDP,Markus Schwyn,PFZ,Finanzdepartement (FD)
1581,24.06.2009,2009/285,Monika Bloch Süss,CSP,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
1582,23.1.2008,2008/54,Monika Erfigen,SVP,Roger Bartholdi,SVP,Sozialdepartement (SD)
1583,23.05.2012,2012/208,Martin Bürlimann,SVP,Theo Hauri,SVP,
1584,8.4.1998,1998/104,Andrea Widmer Graf,FDP,Hanna Lienhard,FDP,Departement der Industriellen Betriebe (DIB)
1585,7.7.1999,1999/317,Theo Toggweiler,SVP,Mauro Tuena,SVP,Polizeidepartement (PD)
1586,04.10.2017,2017/359,Mario Mariani,CVP,Markus Hungerbühler,CVP,
1587,08.01.20,1998/33,Johanna Tremp,SP,Kathy Riklin,CVP,Hochbaudepartement (HBD)
