,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
0,27.6.2001,2001/362,Jürg R. Schüepp,FDP,Ronald Schmid,FDP,
1,5.4.2000,2000/171,Romana Leuzinger,SP,Vreni Hollenweger,SP,Schul- und Sportdepartement (SSD)
2,14.03.2012,2012/99,Gian von Planta,GLP,Guido Trevisan,GLP,
3,02.07.2014,2014/227,Markus Knauss,Grüne,Felix Moser,Grüne,Polizeidepartement (PD)
4,05.10.2011,2011/376,Roger Bartholdi,SVP,Roland Scheck,SVP,
5,25.11.2009,2009/562,Kurt Hüssy,SVP,Peter Anderegg,EVP,Polizeidepartement (PD)
6,20.12.2000,2000/617,Arthur Bernet,SVP,Raphaela-Franziska Ulcay-Hauser,SVP,Gesundheits- und Umweltdepartement (GUD)
7,03.06.2009,2009/238,Guido Bergmaier,SVP,Martin Bürlimann,SVP,Tiefbau- und Entsorgungsdepartement (TED)
8,21.8.2002,2002/289,Markus Schwyn,PFZ,Monika Erfigen,SVP,Hochbaudepartement (HBD)
9,29.3.2000,2000/159,Mauro Tuena,SVP,Jürg Casparis,SVP,Polizeidepartement (PD)
10,20.09.2017,2017/327,Guy Krayenbühl,GLP,Pirmin Meyer,GLP,Präsidialdepartement (PRD)
11,20.04.2016,2016/134,Michael Kraft,SP,Ursula Näf,SP,Stadtrat
12,22.8.2007,2007/455,Markus Schwyn,PFZ,Susi Gut,PFZ,Gesundheits- und Umweltdepartement (GUD)
13,20.06.2012,2012/262,Michèle Halser-Furrer,EVP,Gerhard Bosshard,EVP,Hochbaudepartement (HBD)
14,3.5.2006,2006/134,Richard Rabelbauer,EVP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
15,21.8.2002,2002/276,Werner Sieg,SP,Peter Stähli-Barth,SP,
16,26.05.2010,2008/16,Rebekka Wyler,SP,Pierino Cerliani,Grüne,
17,29.02.2012,2012/66,Bruno Amacker,SVP,Roger Bartholdi,SVP,Departement der Industriellen Betriebe (DIB)
18,13.5.1998,1998/146,Luzi Rüegg,SVP,Lorenz Habicher,SVP,Tiefbau- und Entsorgungsdepartement (TED)
19,30.8.2000,2000/415,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
20,7.1.2004,2004/3,Mauro Tuena,SVP,Roger Liebi,SVP,Polizeidepartement (PD)
21,08.11.2006,2006/487,Daniela Schicker,AL,Alecs Recher,AL,Schul- und Sportdepartement (SSD)
22,16.05.2013,2005/550,Mario Mariani,CVP,Muriel Herzig,Grüne,
23,29.09.2010,2010/415,Urs Weiss,SVP,Theo Hauri,SVP,Tiefbau- und Entsorgungsdepartement (TED)
24,18.05.2011,2011/160,Roger Bartholdi,SVP,Roland Scheck,SVP,Sozialdepartement (SD)
25,06.10.2010,2010/429,Michael Baumer,FDP,Theresa G. Hensch-Stadelmann,FDP,Finanzdepartement (FD)
26,9.2.2005,2005/42,Susi Gut,PFZ,Roger Liebi,SVP,Stadtschreiber/in (STS)
27,09.01.2019,2019/6,Përparim Avdili,FDP,Albert Leiser,FDP,
28,5.12.2007,2007/643,Markus Schwyn,PFZ,Susi Gut,PFZ,
29,17.12.2003,2003/501,Mauro Tuena,SVP,Roger Liebi,SVP,Präsidialdepartement (PRD)
30,28.10.1998,1998/344,Anita Zimmerling Enkelmann,SP,Judith Bucher,SP,
31,16.12.1998,1998/436,Lorenz Habicher,SVP,Emil Grabherr,SVP,Schul- und Sportdepartement (SSD)
32,6.2.2002,2002/63,Luzi Rüegg,SVP,Rolf André Siegenthaler-Benz,SVP,Polizeidepartement (PD)
33,24.3.1999,1999/143,Hans Diem,CVP,Romeo Steiner,CVP,Hochbaudepartement (HBD)
34,26.09.2018,2018/375,Ezgi Akyol,AL,Anjushka Früh,SP,Stadtrat
35,06.05.2009,2009/172,Monjek Rosenheim,FDP,Urs Egger,FDP,Schul- und Sportdepartement (SSD)
36,19.4.2000,2000/207,Raphaela-Franziska Ulcay-Hauser,SVP,Beatrix Casutt,SVP,Tiefbau- und Entsorgungsdepartement (TED)
37,31.10.2018,2018/413,Ernst Danner,EVP,Raphael Kobler,FDP,
38,26.10.2005,2005/424,Roger Liebi,SVP,Martin Burger,SVP,Finanzdepartement (FD)
39,1.12.2004,2004/637,Corine Mauch,SP,Albert Leiser,FDP,
40,11.11.2015,2015/356,Hans Urs von Matt,SP,Marcel Savarioud,SP,
41,06.05.2009,2009/166,Claudia Simon,FDP,Michael Baumer,FDP,Polizeidepartement (PD)
42,21.04.2010,2010/207,Bruno Sidler,SVP,Theo Hauri,SVP,Geschäftsbericht Stadtrat
43,11.12.2009,2009/600,Daniel Leupi,Grüne,Karin Rykart Sutter,Grüne,Finanzdepartement (FD)
44,24.3.2004,2004/151,Erika Bärtschi Hafner,FDP,Theresa G. Hensch-Stadelmann,FDP,Hochbaudepartement (HBD)
45,19.09.2018,2018/361,Matthias Probst,Grüne,Guido Hüni,GLP,Stadtrat
46,31.3.2004,2004/179,Monika Erfigen,SVP,Roger Bartholdi,SVP,Finanzdepartement (FD)
47,04.03.2009,2009/81,Patrick Blöchlinger,SD,Ueli Brasser,SD,Departement der Industriellen Betriebe (DIB)
48,04.06.2014,2014/179,Markus Knauss,Grüne,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
49,15.11.2000,2000/549,Köbi Möri,Parteilos,Hansruedi Bär,SVP,Tiefbau- und Entsorgungsdepartement (TED)
50,14.03.2012,2012/100,Cäcilia Hänni-Etter,FDP,Markus Hungerbühler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
51,3.12.2003,2003/461,Monika Erfigen,SVP,Cornelia Schaub,SVP,Präsidialdepartement (PRD)
52,11.07.2012,2006/256,Daniel Leupi,Grüne,Bastien Girod,Grüne,
53,20.8.2003,2003/307,Doris Fiala,FDP,Catrina Luchsinger Gähwiler,FDP,Polizeidepartement (PD)
54,27.1.1999,1999/31,Thomas Marthaler,SP,Jeannette Linggi Werner,SP,
55,16.06.2010,2007/53,Katrin Schönenberger-Meier,EVP,Thomas  Kappeler,CVP,
56,11.06.2014,2014/186,Alan David Sangines,SP,Matthias Probst,Grüne,Stadtrat
57,7.4.2004,2004/192,Daniel Leupi,Grüne,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED)
58,15.05.2019,2019/199,Peter Anderegg,EVP,Ernst Danner,EVP,Stadtrat
59,9.2.2000,2000/72,Theo Hauri,SVP,Jürg Casparis,SVP,Tiefbau- und Entsorgungsdepartement (TED)
60,22.11.2006,2006/518,Mauro Tuena,SVP,Hedy Schlatter,SVP,Präsidialdepartement (PRD)
61,13.05.2009,2009/199,Katrin Wüthrich,SP,Jean-Daniel Strub,SP,Finanzdepartement (FD)
62,18.8.2004,2004/421,Markus Schwyn,PFZ,Monika Erfigen,SVP,Finanzdepartement (FD)
63,30.08.2017,2017/290,Balz Bürgisser,Grüne,Rosa Maino,AL,Stadtrat
64,20.05.2015,2015/140,Roberto Bertozzi,SVP,Samuel Balsiger,SVP,Sozialdepartement (SD)
65,08.06.2011,2011/202,Christoph Spiess,SD,Patrick Blöchlinger,SD,Tiefbau- und Entsorgungsdepartement (TED)
66,23.5.2007,2007/284,Richard Rabelbauer,EVP,Ernst Danner,EVP,Schul- und Sportdepartement (SSD)
67,13.4.2005,2005/140,Rolf Stucker,SVP,Guido Bergmaier,SVP,Polizeidepartement (PD)
68,29.03.2017,2017/81,Ezgi Akyol,AL,David Garcia Nuñez,AL,
69,5.1.2000,2000/7,Thomas Meier,SVP,Rolf André Siegenthaler-Benz,SVP,Departement der Industriellen Betriebe (DIB)
70,06.03.2019,2019/84,Ernst Danner,EVP,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
71,20.4.2005,2005/168,Muriel Herzig,Grüne,Ueli Nagel,Grüne,Polizeidepartement (PD)
72,7.11.2001,2001/558,Anna Brändle Galliker,SP,Benjamin  Naef,SP,Schul- und Sportdepartement (SSD)
73,18.8.2004,2004/409,Susi Gut,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
74,24.11.1999,1999/590,Susanne Erdös-Schärer,SP,Maya Burri-Wenger,SP,Schul- und Sportdepartement (SSD)
75,10.06.2015,2015/183,Severin Pflüger,FDP,Christian Huser,FDP,
76,05.12.2012,2012/464,Marc Bourgeois,FDP,Roger Tognella,FDP,Tiefbau- und Entsorgungsdepartement (TED)
77,9.5.2007,2007/247,Bernhard im Oberdorf,SVP,Hans Nikles,SVP,Tiefbau- und Entsorgungsdepartement (TED)
78,18.5.2005,2005/197,Susi Gut,PFZ,Cornelia Schaub,SVP,Schul- und Sportdepartement (SSD)
79,6.11.2002,2002/470,Ernst Danner,EVP,Willy Furter,EVP,Tiefbau- und Entsorgungsdepartement (TED)
80,03.10.2007,2007/535,Alecs Recher,AL,Peider Filli,Grüne,
81,12.07.2017,2017/247,Ursula Uttinger,FDP,Marco Denoth,SP,Stadtrat
82,9.4.2003,2003/139,Peter Stähli-Barth,SP,Hans Jörg Käppeli,SP,Hochbaudepartement (HBD)
83,30.01.2019,2019/47,Mathias Manz,SP,Ursula Näf,SP,Stadtrat
84,05.12.2012,2012/458,Mauro Tuena,SVP,Roland Scheck,SVP,Tiefbau- und Entsorgungsdepartement (TED)
85,27.01.2010,2010/63,Christine Seidler,SP,Ueli Nagel,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
86,30.01.2019,2019/53,David Garcia Nuñez,AL,Christina Schiller,AL,Stadtrat
87,10.04.2013,2013/138,Christoph Spiess,SD,Patrick Blöchlinger,SD,Präsidialdepartement (PRD)
88,30.01.2019,2019/52,Alexander Brunner,FDP,Pablo Bünger,FDP,Gemeinderat
89,05.12.2012,2012/459,Mauro Tuena,SVP,Roland Scheck,SVP,Tiefbau- und Entsorgungsdepartement (TED)
90,30.01.2019,2019/46,Markus Baumann,GLP,Marco Denoth,SP,Gemeinderat
91,9.4.2003,2003/138,Hans Marolf,SVP,Rolf Stucker,SVP,Polizeidepartement (PD)
92,27.01.2010,2010/62,Christine Seidler,SP,Ueli Nagel,Grüne,Hochbaudepartement (HBD)
93,6.11.2002,2002/465,Roger Liebi,SVP,Roger Bartholdi,SVP,Finanzdepartement (FD)
94,09.05.2007,2007/252,Claudia Simon,FDP,Albert Leiser,FDP,Polizeidepartement (PD)
95,26.11.2014,2014/385,Andrea Leitner Verhoeven,AL,Walter Angst,AL,
96,22.1.2003,2003/22,Luzi Rüegg,SVP,Bernhard im Oberdorf,SVP,Präsidialdepartement (PRD)
97,10.06.2015,2015/182,Alan David Sangines,SP,Rebekka Wyler,SP,
98,6.11.2002,2002/471,Monika Erfigen,SVP,Karin Peter,SVP,Schul- und Sportdepartement (SSD)
99,9.5.2007,2007/246,Albert Leiser,FDP,Claudia Simon,FDP,Tiefbau- und Entsorgungsdepartement (TED)
100,13.03.2019,2019/91,Balz Bürgisser,Grüne,Yasmine Bourgeois,FDP,Gemeinderat
101,24.11.1999,1999/591,Emil Seliner,SP,Lars Ottmer,SP,Tiefbau- und Entsorgungsdepartement (TED)
102,16.09.2009,2009/403,Hans Jörg Käppeli,SP,André Odermatt,SP,
103,13.4.2005,2005/141,Corine Mauch,SP,André Odermatt,SP,Departement der Industriellen Betriebe (DIB)
104,5.1.2000,2000/6,Raphaela-Franziska Ulcay-Hauser,SVP,Christian Mettler,SVP,Präsidialdepartement (PRD)
105,29.03.2017,2017/80,Guido Hüni,GLP,Sven Sobernheim,GLP,
106,20.05.2015,2015/141,Daniel Regli,SVP,Stephan Iten,SVP,
107,2.4.2008,2008/162,Roger Bartholdi,SVP,Roger Liebi,SVP,Tiefbau- und Entsorgungsdepartement (TED)
108,05.11.2014,2014/352,Markus Knauss,Grüne,Matthias Probst,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
109,18.8.2004,2004/420,Doris Fiala,FDP,Beat Badertscher,FDP,Hochbaudepartement (HBD)
110,23.05.2007,2007/285,Albert Leiser,FDP,Alexander Jäger,FDP,Hochbaudepartement (HBD)
111,08.06.2011,2011/203,Patrick Blöchlinger,SD,Christoph Spiess,SD,
112,13.5.2009,2009/198,Susi Gut,PFZ,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
113,22.11.2006,2006/519,Susi Gut,PFZ,Markus Schwyn,PFZ,Departement der Industriellen Betriebe (DIB)
114,9.2.2000,2000/73,Reto Dettli,SP,Heinz Bögle,SP,Polizeidepartement (PD)
115,15.05.2019,2019/198,Olivia Romanelli,AL,Gabriele Kisker,Grüne,Gemeinderat
116,04.02.2009,2009/57,Susi Gut,PFZ,Markus Schwyn,PFZ,Tiefbau- und Entsorgungsdepartement (TED)
117,06.07.2016,2016/257,Jonas Steiner,SP,Ursula Uttinger,FDP,Stadtrat
118,11.06.2014,2014/187,Peter Küng,SP,Gian von Planta,GLP,Tiefbau- und Entsorgungsdepartement (TED)
119,31.01.2007,2007/52,Daniel Meier,CVP,Albert Leiser,FDP,
120,7.4.2004,2004/193,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
121,21.6.2006,2006/257,Heinz Jacobi,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
122,14.03.2012,2012/101,Cäcilia Hänni-Etter,FDP,Isabel Garcia,GLP,Departement der Industriellen Betriebe (DIB)
123,27.1.1999,1999/30,Hermann Aebi,Parteilos,Hans Marolf,SVP,Tiefbau- und Entsorgungsdepartement (TED)
124,22.6.2005,2003/306,Robert Schönbächler,CVP,Daniel Leupi,Grüne,
125,04.06.2014,2014/178,Ursula Uttinger,FDP,Markus Baumann,GLP,Sozialdepartement (SD)
126,31.3.2004,2004/178,Ruth Anhorn,SVP,Bernhard im Oberdorf,SVP,Polizeidepartement (PD)
127,11.03.2009,2009/94,Martin Bürlimann,SVP,Kurt Hüssy,SVP,Tiefbau- und Entsorgungsdepartement (TED)
128,06.05.2009,2009/167,Monjek Rosenheim,FDP,Urs Schmid,FDP,
129,27.08.2008,2008/374,Markus Schwyn,PFZ,Susi Gut,PFZ,Polizeidepartement (PD)
130,1.12.2004,2004/636,Roger Bartholdi,SVP,Roger Liebi,SVP,Polizeidepartement (PD)
131,19.09.2018,2018/360,Balz Bürgisser,Grüne,Katharina Prelicz-Huber,Grüne,Stadtrat
132,31.8.2005,2005/343,Bruno Sidler,SVP,Theo Hauri,SVP,Polizeidepartement (PD)
133,24.3.2004,2004/150,Albert Leiser,FDP,Peter Püntener,GLP,Schul- und Sportdepartement (SSD)
134,16.12.2009,2009/601,Bruno Wohler,SVP,Thomas Wyss,Grüne,Hochbaudepartement (HBD)
135,21.04.2010,2010/206,Bruno Sidler,SVP,Theo Hauri,SVP,Tiefbau- und Entsorgungsdepartement (TED)
136,7.9.2005,2005/357,Mauro Tuena,SVP,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
137,24.11.2004,2004/622,Marlène Butz,SP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
138,26.10.2005,2005/431,Ernst Danner,EVP,Hanspeter Kunz,EVP,Finanzdepartement (FD)
139,31.10.2018,2018/412,Alan David Sangines,SP,Simone Brander,SP,Stadtrat
140,06.05.2009,2009/173,Urs Egger,FDP,Claudia Simon,FDP,Präsidialdepartement (PRD)
141,6.2.2002,2002/62,Luzi Rüegg,SVP,Rolf André Siegenthaler-Benz,SVP,Polizeidepartement (PD)
142,28.10.1998,1998/345,Jürg Liebermann,FDP,Monjek Rosenheim,FDP,
143,30.09.2009,2007/642,Daniel Leupi,Grüne,Roger Tognella,FDP,
144,17.12.2003,2003/500,Roger Bartholdi,SVP,Theo Hauri,SVP,Sozialdepartement (SD)
145,23.8.2006,2006/323,Daniel Leupi,Grüne,Gabriele Kisker,Grüne,
146,9.2.2005,2005/43,Mauro Tuena,SVP,Susi Gut,PFZ,Präsidialdepartement (PRD)
147,09.01.2019,2019/7,Markus Knauss,Grüne,Res Marti,Grüne,
148,16.12.2016,2016/451,Mario Mariani,CVP,Heinz F. Steger,FDP,
149,14.3.2001,2001/149,Luzi Rüegg,SVP,Raphaela-Franziska Ulcay-Hauser,SVP,Departement der Industriellen Betriebe (DIB)
150,29.09.2010,2010/414,Daniel Regli,SVP,Monika Erfigen,SVP,Departement der Industriellen Betriebe (DIB)
151,18.05.2011,2005/551,Bernhard Piller,Grüne,Mario Mariani,CVP,
152,06.06.2018,2018/214,Guy Krayenbühl,GLP,Sven Sobernheim,GLP,Sicherheitsdepartement (SID)
153,7.1.2004,2004/2,Mauro Tuena,SVP,Bruno Garzotto,SVP,Polizeidepartement (PD)
154,8.2.2005,2005/223,Corine Mauch,SP,Ernst Danner,EVP,
155,3.12.2001,2001/607,Monjek Rosenheim,FDP,Beat Badertscher,FDP,Präsidialdepartement (PRD)
156,4.7.2001,2001/388,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
157,18.01.2006,2006/12,Roger Bartholdi,SVP,Bruno Amacker,SVP,Departement der Industriellen Betriebe (DIB)
158,29.02.2012,2012/67,Thomas Monn,SVP,Bruno Amacker,SVP,Polizeidepartement (PD)
159,3.5.2006,2006/135,Judith Bucher,SP,Christian Traber,CVP,
160,20.06.2012,2012/263,Cäcilia Hänni-Etter,FDP,Severin Pflüger,FDP,Finanzdepartement (FD)
161,16.1.2008,2008/17,Mauro Tuena,SVP,Roger Bartholdi,SVP,
162,21.6.2006,2002/277,Roger Liebi,SVP,Monika Erfigen,SVP,
163,10.11.2004,2004/583,Thomas Marthaler,SP,Christian Traber,CVP,Polizeidepartement (PD)
164,20.04.2016,2016/135,Pascal Lamprecht,SP,Markus Baumann,GLP,Stadtrat
165,20.09.2017,2017/326,Pirmin Meyer,GLP,Shaibal Roy,GLP,Stadtrat
166,24.1.2001,2001/27,Christian Mettler,SVP,Markus Schwyn,PFZ,Sozialdepartement (SD)
167,29.3.2000,2000/158,Esther Weibel Waser,SP,Marianne Dubs Früh,SP,Präsidialdepartement (PRD)
168,21.8.2002,2002/288,Mark Roth,SP,Myriam Barzotto,SP,Präsidialdepartement (PRD)
169,3.11.2004,2004/568,Monjek Rosenheim,FDP,Alexander Jäger,FDP,Sozialdepartement (SD)
170,03.06.2009,2009/239,Peter Anderegg,EVP,Ernst Danner,EVP,Departement der Industriellen Betriebe (DIB)
171,10.6.1998,1998/184,Monjek Rosenheim,FDP,Jürg Liebermann,FDP,Finanzdepartement (FD)
172,20.10.2004,2004/540,Bernhard im Oberdorf,SVP,Bruno Amacker,SVP,Polizeidepartement (PD)
173,29.3.2000,2000/164,Christian Mettler,SVP,Armin Schilter,SVP,Finanzdepartement (FD)
174,27.5.2009,2009/211,Susi Gut,PFZ,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
175,14.03.2012,2012/98,Michèle Halser-Furrer,EVP,Martin Mächler,EVP,Departement der Industriellen Betriebe (DIB)
176,5.4.2000,2000/170,Fiammetta Jahreiss-Montagnani,SP,Esther Weibel Waser,SP,Schul- und Sportdepartement (SSD)
177,27.6.2001,2001/363,Jürg R. Schüepp,FDP,Ronald Schmid,FDP,Hochbaudepartement (HBD)
178,20.12.2000,2000/616,Markus Schwyn,PFZ,Christian Mettler,SVP,Sozialdepartement (SD)
179,10.12.1997,1997/539,Rolf Walther,FDP,Jürg Liebermann,FDP,Finanzdepartement (FD)
180,05.10.2011,2011/377,Linda Bär,SP,Jacqueline Badran,SP,Finanzdepartement (FD)
181,08.01.20,2014/230,Marcel Schönbächler,CVP,Peter Küng,SP,
182,27.05.2009,2009/213,Markus Schwyn,PFZ,Susi Gut,PFZ,Polizeidepartement (PD)
183,28.09.2011,2011/361,Monika Erfigen,SVP,Ruth Anhorn,SVP,Präsidialdepartement (PRD)
184,05.10.2011,2011/375,Markus Hungerbühler,CVP,Daniel Meier,CVP,Polizeidepartement (PD)
185,25.11.2009,2009/561,Daniel Regli,SVP,Peter Anderegg,EVP,Tiefbau- und Entsorgungsdepartement (TED)
186,5.4.2000,2000/172,Romana Leuzinger,SP,Vreni Hollenweger,SP,Schul- und Sportdepartement (SSD)
187,25.11.2009,2009/549,Walter Angst,AL,Jean-Claude Virchaux,CVP,
188,21.09.2011,2011/349,Dorothea Frei,SP,Roger Tognella,FDP,Tiefbau- und Entsorgungsdepartement (TED)
189,16.01.2008,2008/15,Bruno Garzotto,SVP,Bruno Sidler,SVP,
190,20.06.2012,2012/261,Cäcilia Hänni-Etter,FDP,Michael Baumer,FDP,Hochbaudepartement (HBD)
191,3.5.2006,2006/137,Mauro Tuena,SVP,Roger Liebi,SVP,Sozialdepartement (SD)
192,04.02.2015,2015/44,Markus Knauss,Grüne,Guido Trevisan,GLP,
193,06.06.2007,2007/324,Kurt Hüssy,SVP,Martin Bürlimann,SVP,Tiefbau- und Entsorgungsdepartement (TED)
194,10.6.1998,1998/179,Beat Badertscher,FDP,Rolf Walther,FDP,
195,20.04.2016,2016/137,Marcel Tobler,SP,Markus Hungerbühler,CVP,
196,22.8.2007,2007/456,Markus Schwyn,PFZ,Susi Gut,PFZ,Finanzdepartement (FD)
197,29.02.2012,2012/71,Alan David Sangines,SP,Christine Seidler,SP,
198,30.1.91,1991/56,Werner Furrer,SVP,Paul Kleger,FDP,Hochbaudepartement (HBD)
199,13.09.2017,2017/318,Dubravko Sinovcic,SVP,Johann Widmer,SVP,Stadtrat
200,18.1.2006,2006/10,Roger Tognella,FDP,Gerold Lauber,CVP,Sozialdepartement (SD)
201,16.3.2005,2005/96,Robert Schönbächler,CVP,Mario Mariani,CVP,Departement der Industriellen Betriebe (DIB)
202,12.7.2000,2000/364,Mauro Tuena,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
203,29.09.2010,2010/416,Gabriele Kisker,Grüne,Samuel Dubno,GLP,Tiefbau- und Entsorgungsdepartement (TED)
204,25.5.2005,2005/209,Ernst Danner,EVP,Hanspeter Kunz,EVP,Präsidialdepartement (PRD)
205,10.12.2008,2008/558,Markus Schwyn,PFZ,Susi Gut,PFZ,Sozialdepartement (SD)
206,17.12.2003,2003/502,Markus Schwyn,PFZ,Monika Erfigen,SVP,Sozialdepartement (SD)
207,19.01.2011,2011/20,Cäcilia Hänni-Etter,FDP,Ursula Uttinger,FDP,
208,20.01.2016,2016/29,Markus Merki,GLP,Markus Baumann,GLP,Tiefbau- und Entsorgungsdepartement (TED)
209,10.05.2017,2017/126,Stephan Iten,SVP,Stefan Urech,SVP,
210,14.4.1999,1999/168,Silvia Biedermann,SP,Monika Spring-Gross,SP,Tiefbau- und Entsorgungsdepartement (TED)
211,09.01.2019,2019/5,Përparim Avdili,FDP,Albert Leiser,FDP,
212,9.2.2005,2005/41,Robert Schönbächler,CVP,Heinz Bögle,SP,Tiefbau- und Entsorgungsdepartement (TED)
213,24.3.1999,1999/140,Luzi Rüegg,SVP,Jürg Casparis,SVP,Polizeidepartement (PD)
214,28.3.2001,2001/188,Theo Hauri,SVP,Peter Mächler,SVP,Polizeidepartement (PD)
215,31.01.2018,2018/38,Alexander Brunner,FDP,Shaibal Roy,GLP,Finanzdepartement (FD)
216,19.12.2007,2007/668,Ueli Brasser,SD,Christian Wenger,SD,Polizeidepartement (PD)
217,7.4.1999,1999/154,Jürg Casparis,SVP,Luzi Rüegg,SVP,Polizeidepartement (PD)
218,03.07.2013,2013/258,Ann-Catherine Nabholz,GLP,Heinz F. Steger,FDP,
219,21.04.2010,2010/204,Roberto Rodriguez,SP,Christoph Gut,SP,Schul- und Sportdepartement (SSD)
220,16.12.2009,2009/603,Mario Mariani,CVP,Hanspeter Kunz,EVP,Polizeidepartement (PD)
221,24.3.2004,2004/152,Roger Bartholdi,SVP,Mauro Tuena,SVP,Polizeidepartement (PD)
222,19.09.2018,2018/362,David Garcia Nuñez,AL,Ezgi Akyol,AL,
223,26.10.2005,2005/427,Robert Schönbächler,CVP,Ernst Danner,EVP,Tiefbau- und Entsorgungsdepartement (TED)
224,24.10.2018,2018/404,Yasmine Bourgeois,FDP,Susanne Brunner,SVP,
225,1.12.2004,2004/634,Maya Burri-Wenger,SP,Gerold Lauber,CVP,
226,11.11.2015,2015/355,Jean-Daniel Strub,SP,Christine Seidler,SP,
227,06.05.2009,2009/165,Roger Bartholdi,SVP,Bruno Sidler,SVP,
228,06.05.2009,2009/171,Severin Pflüger,FDP,Claudia Simon,FDP,Hochbaudepartement (HBD)
229,22.11.2004,2004/620,Roger Tognella,FDP,Monjek Rosenheim,FDP,
230,26.09.2018,2018/376,Martin Götzl,SVP,Thomas Schwendener,SVP,Stadtrat
231,10.12.2003,2003/489,Oliver B. Meier,SVP,Gerold Lauber,CVP,Hochbaudepartement (HBD)
232,17.11.2004,2004/608,Monika Erfigen,SVP,Martin Burger,SVP,Finanzdepartement (FD)
233,17.04.2019,2019/159,Balz Bürgisser,Grüne,Simon Kälin-Werth,Grüne,Gemeinderat
234,04.09.2013,2013/304,Andrea Nüssli,SP,Simone Brander,SP,Hochbaudepartement (HBD)
235,08.01.20,2014/185,Martin Bürlimann,SVP,Roberto Bertozzi,SVP,
236,27.1.1999,1999/32,Dominik Schaub,SP,Christine Marchetto-Grütter,SP,
237,14.03.2012,2012/103,Simon Kälin-Werth,Grüne,Marlène Butz,SP,
238,11.12.1996,2006/255,Bastien Girod,Grüne,Ernst Danner,EVP,
239,08.01.20,2004/185,Ueli Nagel,Grüne,Christoph Hug,Grüne,
240,9.2.2000,2000/65,Jürg R. Schüepp,FDP,Willy Furter,EVP,Tiefbau- und Entsorgungsdepartement (TED)
241,04.02.2009,2009/55,Esther Straub,SP,Gabriele Kisker,Grüne,Gesundheits- und Umweltdepartement (GUD)
242,03.10.2018,2018/389,Monika Bätschmann,Grüne,Markus Kunz,Grüne,Stadtrat
243,09.04.2008,2008/174,Richard Rabelbauer,EVP,Esther Ponti-Weder,CVP,Schul- und Sportdepartement (SSD)
244,30.08.2017,2017/287,Markus Merki,GLP,Matthias Wiesmann,GLP,Stadtrat
245,18.8.2004,2004/436,Martin Burger,SVP,Mauro Tuena,SVP,Stadtschreiber/in (STS)
246,5.1.2000,2000/4,Raphaela-Franziska Ulcay-Hauser,SVP,Christian Mettler,SVP,Präsidialdepartement (PRD)
247,18.04.2018,2018/160,Jean-Daniel Strub,SP,Andreas Kirstein,AL,Stadtrat
248,08.06.2011,2011/201,Christoph Spiess,SD,Patrick Blöchlinger,SD,Tiefbau- und Entsorgungsdepartement (TED)
249,23.05.2007,2007/287,Karin Rykart Sutter,Grüne,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
250,18.8.2004,2004/422,Roger Bartholdi,SVP,Hans Nikles,SVP,Polizeidepartement (PD)
251,05.11.2014,2014/350,Markus Knauss,Grüne,Simone Brander,SP,Tiefbau- und Entsorgungsdepartement (TED)
252,02.04.2008,2008/160,Heinz F. Steger,FDP,Daniel Meier,CVP,Hochbaudepartement (HBD)
253,02.10.2019,2019/429,Michel Urben,SP,Florian Blättler,SP,
254,13.03.2019,2019/93,Sven Sobernheim,GLP,Andri Silberschmidt,FDP,Stadtrat
255,26.3.2008,2008/148,Ernst Danner,EVP,Urs Rechsteiner,CVP,Präsidialdepartement (PRD)
256,20.8.1997,1997/315,Markus Bischoff,AL,Niklaus Scherr,AL,Polizeidepartement (PD)
257,24.11.1999,1999/587,Christoph Hug,Grüne,Marie-Therese Meier,SP,Tiefbau- und Entsorgungsdepartement (TED)
258,03.10.2007,2007/536,Bruno Garzotto,SVP,Theo Hauri,SVP,Polizeidepartement (PD)
259,12.07.2017,2017/244,Roger Liebi,SVP,Markus Knauss,Grüne,
260,09.05.2007,2007/250,Claudia Simon,FDP,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
261,6.11.2002,2002/467,Roger Liebi,SVP,Mauro Tuena,SVP,Sozialdepartement (SD)
