,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
321,17.12.2008,2008/582,Ueli Nagel,Grüne,links,Claudia Rabelbauer,EVP,mitte,Schul- und Sportdepartement (SSD)
322,02.11.2011,2011/408,Fiammetta Jahreiss-Montagnani,SP,links,Christian Traber,CVP,mitte,Finanzdepartement (FD)
323,18.06.2014,2014/203,Pawel Silberring,SP,links,Heinz F. Steger,FDP,rechts,
324,7.4.2004,2004/203,Franziska Graf,SP,links,Georg Schmid,CVP,mitte,
325,3.5.2006,2006/138,Marlène Butz,SP,links,Astrid Hirzel,CVP,mitte,
326,25.1.2006,2006/23,Michael Baumer,FDP,rechts,Balthasar Glättli,Grüne,links,Finanzdepartement (FD)
327,28.08.2013,2013/294,Simon Kälin-Werth,Grüne,links,Gerhard Bosshard,EVP,mitte,Hochbaudepartement (HBD)
328,17.12.2008,2008/580,Peter Stähli-Barth,SP,links,Ernst Danner,EVP,mitte,
329,07.11.2018,2018/423,Marco Denoth,SP,links,Albert Leiser,FDP,rechts,
330,16.01.2013,2013/16,Peter Küng,SP,links,Michèle Halser-Furrer,EVP,mitte,
331,15.05.2019,2019/195,Christine Seidler,SP,links,Isabel Garcia,GLP,mitte,
334,10.04.2013,2013/135,Joachim Hagger,FDP,rechts,Bernhard Piller,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
335,04.09.2019,2017/263,Albert Leiser,FDP,rechts,Andreas Kirstein,AL,links,
336,06.02.2019,2019/62,Ernst Danner,EVP,mitte,Christina Schiller,AL,links,Gemeinderat
337,03.06.2015,2015/171,Marcel Savarioud,SP,links,Karin Weyermann,CVP,mitte,Gesundheits- und Umweltdepartement (GUD)
338,20.4.2005,2005/165,Anna Brändle Galliker,SP,links,Gerold Lauber,CVP,mitte,Sozialdepartement (SD)
339,19.08.2009,2009/355,Albert Leiser,FDP,rechts,Daniel Leupi,Grüne,links,
340,03.10.2018,2018/387,Marcel Bührig,Grüne,links,Isabel Garcia,GLP,mitte,Stadtrat
341,16.01.2013,2013/17,Florian Utz,SP,links,Michèle Halser-Furrer,EVP,mitte,
342,10.12.2003,2003/487,Daniel Leupi,Grüne,links,Ernst Danner,EVP,mitte,Polizeidepartement (PD)
343,21.12.2016,2016/461,Pawel Silberring,SP,links,Christian Traber,CVP,mitte,
344,28.08.2013,2013/295,Simon Kälin-Werth,Grüne,links,Martin Luchsinger,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
345,25.5.2005,2005/207,Hans Jörg Käppeli,SP,links,Heinz F. Steger,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
346,16.1.2008,2008/33,Marlène Butz,SP,links,Astrid Hirzel,CVP,mitte,Polizeidepartement (PD)
347,3.5.2006,2006/139,Marlène Butz,SP,links,Robert Schönbächler,CVP,mitte,Departement der Industriellen Betriebe (DIB)
348,9.1.2008,2008/3,Joe A. Manser,SP,links,Mario Mariani,CVP,mitte,Präsidialdepartement (PRD)
