,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
117,23.01.2008,2008/62,Christine Seidler,SP,links,Christian Traber,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
118,11.7.2007,2007/409,Kyriakos Papageorgiou,SP,links,Alexander Jäger,FDP,rechts,Departement der Industriellen Betriebe (DIB)
120,20.9.2006,2006/395,Myrtha Meuli,SP,links,Josef Widler,CVP,mitte,Sozialdepartement (SD)
121,05.10.2016,2016/342,Marco Denoth,SP,links,Martin Luchsinger,GLP,mitte,
123,27.09.2006,2006/418,Matthias Probst,Grüne,links,Richard Rabelbauer,EVP,mitte,Präsidialdepartement (PRD)
124,06.01.2016,2016/9,Markus Baumann,GLP,mitte,Alan David Sangines,SP,links,
125,25.6.2008,2008/301,Gabriele Kisker,Grüne,links,Monika Bloch Süss,CSP,mitte,Schul- und Sportdepartement (SSD)
126,15.12.2010,2010/529,Christina Hug,Grüne,links,Claudia Rabelbauer,EVP,mitte,Schul- und Sportdepartement (SSD)
127,18.04.2012,2012/174,Katrin Wüthrich,SP,links,Marcel Schönbächler,CVP,mitte,Hochbaudepartement (HBD)
128,7.6.2006,2006/222,Christine Seidler,SP,links,Mario Mariani,CVP,mitte,
129,6.12.2006,2006/578,Marlène Butz,SP,links,Theresa G. Hensch-Stadelmann,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
130,31.10.2012,2012/389,Min Li Marti,SP,links,Isabel Garcia,GLP,mitte,
131,2.10.2002,2002/404,Christoph Hug,Grüne,links,Gerold Lauber,CVP,mitte,
132,05.07.2017,2017/227,Heidi Egger,SP,links,Reto Rudolf,CVP,mitte,Stadtrat
133,13.11.2019,2019/489,Pascal Lamprecht,SP,links,Marcel Müller,FDP,rechts,Stadtrat
134,05.07.2017,2017/226,Christine Seidler,SP,links,Mario Mariani,CVP,mitte,Stadtrat
135,03.07.2019,2019/311,Zilla Roose,SP,links,Markus Merki,GLP,mitte,Stadtrat
136,18.04.2012,2012/175,Daniel Meier,CVP,mitte,Florian Utz,SP,links,
137,16.06.2010,2010/266,Florian Utz,SP,links,Guido Trevisan,GLP,mitte,
138,7.7.1999,1999/320,Kurt Tschopp,CVP,mitte,Rolf Kuhn,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
139,11.1.1995,1993/155,Peter Stähli-Barth,SP,links,Paul Kleger,FDP,rechts,Hochbaudepartement (HBD)
140,6.2.2008,2008/88,Mirella Wepf,SP,links,Ernst Danner,EVP,mitte,Hochbaudepartement (HBD)
141,10.1.2001,2001/6,Joe A. Manser,SP,links,Guido Wick,FDP,rechts,Polizeidepartement (PD)
142,31.08.2011,2011/317,Monika Erfigen,SVP,rechts,Marianne Aubert,SP,links,"Hochbaudepartement (HBD), Schul- und Sportdepartement (SSD)"
143,05.06.2019,2019/249,Balz Bürgisser,Grüne,links,Roger Bartholdi,SVP,rechts,Stadtrat
144,07.12.2011,2011/475,Hans Jörg Käppeli,SP,links,Guido Trevisan,GLP,mitte,
145,04.10.2017,2017/356,Mathias Egloff,SP,links,Ronny Siev,GLP,mitte,Stadtrat
146,18.12.2002,2002/561,Robert Schönbächler,CVP,mitte,Claudia Nielsen,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
147,27.09.2017,2017/342,Pascal Lamprecht,SP,links,Mario Mariani,CVP,mitte,
148,4.6.2008,2008/258,Myrtha Meuli,SP,links,Ernst Danner,EVP,mitte,Sozialdepartement (SD)
149,27.9.2006,2006/421,Robert Schönbächler,CVP,mitte,Pierino Cerliani,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
150,22.10.2008,2008/476,Marco V. Camin,FDP,rechts,Ueli Nagel,Grüne,links,Gesundheits- und Umweltdepartement (GUD)
151,1.10.2008,2008/462,Peter Stähli-Barth,SP,links,Bruno Sidler,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
