,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
235,27.9.2006,2006/421,Robert Schönbächler,CVP,mitte,Pierino Cerliani,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
236,22.10.2008,2008/476,Marco V. Camin,FDP,rechts,Ueli Nagel,Grüne,links,Gesundheits- und Umweltdepartement (GUD)
237,1.10.2008,2008/462,Peter Stähli-Barth,SP,links,Bruno Sidler,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
238,30.10.2019,2019/473,Olivia Romanelli,AL,links,Ernst Danner,EVP,mitte,Präsidialdepartement (PRD)
239,01.07.2009,2009/301,Heinz F. Steger,FDP,rechts,Josef Widler,CVP,mitte,
240,30.10.2019,2019/467,Balz Bürgisser,Grüne,links,Roger Bartholdi,SVP,rechts,Schul- und Sportdepartement (SSD)
241,08.02.2017,2017/27,Pawel Silberring,SP,links,Guy Krayenbühl,GLP,mitte,Sicherheitsdepartement (SID)
242,2.10.2002,2002/401,Daniel Leupi,Grüne,links,Christian Traber,CVP,mitte,Polizeidepartement (PD)
243,9.5.2007,2007/237,Daniel Leupi,Grüne,links,Doris Weber,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
244,22.10.1997,1997/428,Luzia Vieli-Hardegger,LdU,mitte,Simone Bertogg-Baudet,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
246,7.6.2006,2006/226,Mischa Morgenbesser,FDP,rechts,Daniel Leupi,Grüne,links,Gesundheits- und Umweltdepartement (GUD)
247,6.12.2006,2006/568,Bastien Girod,Grüne,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
248,28.11.2018,2018/463,Pablo Bünger,FDP,rechts,Helen Glaser,SP,links,Departement der Industriellen Betriebe (DIB)
249,06.03.2013,2013/81,Irene Bernhard,GLP,mitte,Ursula Uttinger,FDP,rechts,Sozialdepartement (SD)
250,7.3.2001,2001/104,Emil Seliner,SP,links,Placidus Maissen,CVP,mitte,Hochbaudepartement (HBD)
252,4.6.2008,2008/259,Josef Widler,CVP,mitte,Heinz Jacobi,SP,links,Sozialdepartement (SD)
253,23.05.2012,2012/212,Isabel Garcia,GLP,mitte,Claudia Simon,FDP,rechts,Sozialdepartement (SD)
254,21.1.1998,1998/29,Max Müller,SVP,rechts,Armin W. Zenger,LdU,mitte,Tiefbau- und Entsorgungsdepartement (TED)
255,7.7.1999,1999/319,Rolf Kuhn,SP,links,Kurt Tschopp,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
256,05.06.2019,2019/248,Sebastian Vogel,FDP,rechts,Guido Hüni,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
258,4.3.2009,2000/129,Robert Schönbächler,CVP,mitte,Heinz Bögle,SP,links,"Hochbaudepartement (HBD), Schul- und Sportdepartement (SSD)"
259,08.01.20,2006/387,Niklaus Scherr,AL,links,Albert Leiser,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
260,08.07.2015,2015/250,Urs Egger,FDP,rechts,Samuel Dubno,GLP,mitte,Polizeidepartement (PD)
261,02.03.2016,2016/64,Marcel Bührig,Grüne,links,Sven Sobernheim,GLP,mitte,Präsidialdepartement (PRD)
262,13.7.2005,2005/293,Muriel Herzig,Grüne,links,Mario Mariani,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
263,03.04.2019,2019/128,Hans Jörg Käppeli,SP,links,Ann-Catherine Nabholz,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
264,23.06.2010,2010/275,Thomas Wyss,Grüne,links,Hanspeter Kunz,EVP,mitte,Finanzdepartement (FD)
265,21.1.2009,2009/30,Peter Stähli-Barth,SP,links,Bruno Sidler,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
266,11.04.2012,2012/166,Guido Trevisan,GLP,mitte,Ursula Uttinger,FDP,rechts,Polizeidepartement (PD)
267,30.10.2019,2019/464,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,Hochbaudepartement (HBD)
269,06.07.2011,2011/264,Matthias Probst,Grüne,links,Marcel Schönbächler,CVP,mitte,Polizeidepartement (PD)
270,01.02.2017,2017/24,Ursula Uttinger,FDP,rechts,Karin Weyermann,CVP,mitte,Hochbaudepartement (HBD)
271,30.10.2019,2019/465,Përparim Avdili,FDP,rechts,Pascal Lamprecht,SP,links,Sicherheitsdepartement (SID)
272,04.04.2018,2018/138,Guido Hüni,GLP,mitte,Markus Kunz,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
273,22.11.2006,2006/543,Judith Bucher,SP,links,Doris Weber,FDP,rechts,Schul- und Sportdepartement (SSD)
274,15.06.2016,2016/225,Barbara Wiesmann,SP,links,Guy Krayenbühl,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
275,12.03.2014,2014/74,Samuel Dubno,GLP,mitte,Walter Angst,AL,links,Tiefbau- und Entsorgungsdepartement (TED)
276,05.03.2014,2014/60,Simone Brander,SP,links,Guido Trevisan,GLP,mitte,Polizeidepartement (PD)
277,21.1.2009,2009/31,Bruno Sidler,SVP,rechts,Peter Stähli-Barth,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
278,03.04.2019,2019/129,Markus Knauss,Grüne,links,Ann-Catherine Nabholz,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
279,29.05.2013,2013/200,Samuel Dubno,GLP,mitte,Walter Angst,AL,links,Polizeidepartement (PD)
280,02.11.2016,2016/379,Dorothea Frei,SP,links,Heinz Schatt,SVP,rechts,Sicherheitsdepartement (SID)
281,01.12.2010,2010/499,Matthias Probst,Grüne,links,Martin Luchsinger,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
282,08.07.2015,2015/245,Ann-Catherine Nabholz,GLP,mitte,Heinz F. Steger,FDP,rechts,Departement der Industriellen Betriebe (DIB)
283,22.6.2005,2005/251,Martin Burger,SVP,rechts,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
284,13.6.2007,2007/354,Richard Rabelbauer,EVP,mitte,Alexander Jäger,FDP,rechts,Polizeidepartement (PD)
288,19.06.2019,2019/277,Balz Bürgisser,Grüne,links,Sebastian Vogel,FDP,rechts,Hochbaudepartement (HBD)
289,27.11.2019,2019/508,Marion Schmid,SP,links,Maria del Carmen Señorán,SVP,rechts,Sozialdepartement (SD)
291,26.06.2019,2019/291,Sebastian Vogel,FDP,rechts,Balz Bürgisser,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
292,08.01.20,1998/33,Johanna Tremp,SP,links,Kathy Riklin,CVP,mitte,Hochbaudepartement (HBD)
294,14.07.2010,2010/319,Hans Jörg Käppeli,SP,links,Roger Tognella,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
297,23.11.2016,2016/406,Linda Bär,SP,links,Ann-Catherine Nabholz,GLP,mitte,Präsidialdepartement (PRD)
298,21.11.2018,2018/451,Pirmin Meyer,GLP,mitte,Zilla Roose,SP,links,Finanzdepartement (FD)
300,06.03.2013,2013/70,Hans Jörg Käppeli,SP,links,Marcel Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
301,21.1.2009,2009/28,Peter Stähli-Barth,SP,links,Bruno Sidler,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
302,05.02.2014,2014/45,Jean-Daniel Strub,SP,links,Martin Luchsinger,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
303,15.06.2016,2016/228,Walter Angst,AL,links,Markus Merki,GLP,mitte,Schul- und Sportdepartement (SSD)
305,29.01.20,2004/311,Marianne Dubs Früh,SP,links,Kurt Maeder,CVP,mitte,Schul- und Sportdepartement (SSD)
306,31.10.2012,2012/397,Jean-Daniel Strub,SP,links,Samuel Dubno,GLP,mitte,Präsidialdepartement (PRD)
307,9.5.2007,2007/238,Martin Sarbach,SP,links,Katrin Schönenberger-Meier,EVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
308,29.01.20,2001/296,Erika Bärtschi Hafner,FDP,rechts,Joe A. Manser,SP,links,Sozialdepartement (SD)
309,26.2.2003,2003/60,Werner Sieg,SP,links,Claudia Rütsche,CVP,mitte,Präsidialdepartement (PRD)
310,28.06.2017,2017/210,Walter Angst,AL,links,Isabel Garcia,GLP,mitte,Schul- und Sportdepartement (SSD)
312,22.05.2013,2013/185,Renate Fischer,SP,links,Martin Bürki,FDP,rechts,Departement der Industriellen Betriebe (DIB)
313,12.03.2008,2008/120,Mario Mariani,CVP,mitte,Albert Leiser,FDP,rechts,Hochbaudepartement (HBD)
314,23.10.2019,2019/441,Mathias Egloff,SP,links,Guido Hüni,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
315,21.1.2009,2009/29,Bruno Sidler,SVP,rechts,Peter Stähli-Barth,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
316,30.08.2006,2006/349,Yvonne Müller,SP,links,Astrid Hirzel,CVP,mitte,Hochbaudepartement (HBD)
317,10.3.1999,1999/100,Romeo Steiner,CVP,mitte,Armin Schilter,SVP,rechts,Finanzdepartement (FD)
318,08.07.2015,2015/249,Marianne Aubert,SP,links,Thomas Kleger,FDP,rechts,Polizeidepartement (PD)
319,14.07.2010,2010/318,Roger Tognella,FDP,rechts,Hans Jörg Käppeli,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
320,22.3.2006,2006/93,Beatrice Reimann,SP,links,Robert Schönbächler,CVP,mitte,Hochbaudepartement (HBD)
322,25.01.2012,2012/33,Cäcilia Hänni-Etter,FDP,rechts,Markus Hungerbühler,CVP,mitte,Polizeidepartement (PD)
323,23.03.2011,2011/89,Michael Baumer,FDP,rechts,Markus Knauss,Grüne,links,Schul- und Sportdepartement (SSD)
324,11.06.2008,2008/268,Bernhard Piller,Grüne,links,Ernst Danner,EVP,mitte,Gesundheits- und Umweltdepartement (GUD)
325,3.3.2004,2004/104,Ueli Nagel,Grüne,links,Willy Furter,EVP,mitte,Hochbaudepartement (HBD)
326,25.10.2000,2000/508,Köbi Möri,Parteilos,mitte,Mauro Tuena,SVP,rechts,Sozialdepartement (SD)
327,08.01.20,1997/155,Hansueli Züllig,SVP,rechts,Robert Schönbächler,CVP,mitte,Schul- und Sportdepartement (SSD)
328,10.01.2007,2007/8,Pierino Cerliani,Grüne,links,Michael Baumer,FDP,rechts,Hochbaudepartement (HBD)
329,23.6.1999,1999/274,Robert Schönbächler,CVP,mitte,Markus Bischoff,AL,links,Departement der Industriellen Betriebe (DIB)
330,04.04.2018,2018/137,Markus Kunz,Grüne,links,Guido Hüni,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
331,05.02.2014,2014/47,Marco Denoth,SP,links,Heinz F. Steger,FDP,rechts,Hochbaudepartement (HBD)
333,25.10.2000,2000/509,Köbi Möri,Parteilos,mitte,Hans Marolf,SVP,rechts,Schul- und Sportdepartement (SSD)
334,28.3.2007,2007/165,Robert Schönbächler,CVP,mitte,Bruno Garzotto,SVP,rechts,Finanzdepartement (FD)
335,16.03.2016,2016/81,Marcel Savarioud,SP,links,Karin Weyermann,CVP,mitte,Gesundheits- und Umweltdepartement (GUD)
336,20.06.2018,2018/241,Urs Egger,FDP,rechts,Anjushka Früh,SP,links,Schul- und Sportdepartement (SSD)
337,02.09.2015,2015/276,Marcel Savarioud,SP,links,Roger Tognella,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
338,28.5.2008,2008/241,Marco V. Camin,FDP,rechts,Bernhard Piller,Grüne,links,Hochbaudepartement (HBD)
339,28.02.2018,2018/84,Patrick Albrecht,FDP,rechts,Markus Hungerbühler,CVP,mitte,Hochbaudepartement (HBD)
340,19.06.2019,2019/278,Alexander Brunner,FDP,rechts,Pirmin Meyer,GLP,mitte,Präsidialdepartement (PRD)
342,05.06.2019,2019/250,Andrea Leitner Verhoeven,AL,links,Ann-Catherine Nabholz,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
343,05.06.2019,2019/244,Nadia Huberson,SP,links,Përparim Avdili,FDP,rechts,Präsidialdepartement (PRD)
345,17.6.2009,2009/268,Severin Pflüger,FDP,rechts,Daniel Meier,CVP,mitte,Hochbaudepartement (HBD)
346,07.12.2011,2011/468,Michel Urben,SP,links,Marcel Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
347,8.3.2000,2000/109,Joe A. Manser,SP,links,Max Fritz,FDP,rechts,Departement der Industriellen Betriebe (DIB)
348,04.12.2019,2019/532,Guido Hüni,GLP,mitte,Sebastian Vogel,FDP,rechts,Departement der Industriellen Betriebe (DIB)
349,2.6.2004,2004/288,Christina Bellin-Isele,SP,links,Thomas  Kappeler,CVP,mitte,Hochbaudepartement (HBD)
350,30.03.2011,2011/98,Marc Bourgeois,FDP,rechts,Guido Trevisan,GLP,mitte,Polizeidepartement (PD)
351,4.10.2000,2000/486,Köbi Möri,Parteilos,mitte,Luzi Rüegg,SVP,rechts,Polizeidepartement (PD)
352,24.11.2010,2010/486,Christina Hug,Grüne,links,Isabel Garcia,GLP,mitte,Präsidialdepartement (PRD)
353,1.11.2000,2000/525,Köbi Möri,Parteilos,mitte,Werner Furrer,SVP,rechts,Schul- und Sportdepartement (SSD)
354,13.07.2011,2011/291,Marcel Schönbächler,CVP,mitte,Florian Utz,SP,links,Departement der Industriellen Betriebe (DIB)
355,28.10.2009,2009/490,Fiammetta Jahreiss-Montagnani,SP,links,Christian Traber,CVP,mitte,Hochbaudepartement (HBD)
357,10.04.2013,2013/140,Irene Bernhard,GLP,mitte,Ursula Uttinger,FDP,rechts,Sozialdepartement (SD)
359,4.6.2003,2003/183,Daniel Leupi,Grüne,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
360,08.06.2016,2016/207,Marco Denoth,SP,links,Ann-Catherine Nabholz,GLP,mitte,Hochbaudepartement (HBD)
361,27.11.2013,2013/424,Pascal Lamprecht,SP,links,Joachim Hagger,FDP,rechts,Zuteilung ausstehend
362,13.11.2013,2013/395,Roger Tognella,FDP,rechts,Dorothea Frei,SP,links,Sozialdepartement (SD)
363,1.11.2000,2000/524,Hans-Ulrich Meier,FDP,rechts,Werner Sieg,SP,links,Hochbaudepartement (HBD)
364,29.08.2018,2018/318,Stefan Urech,SVP,rechts,Urs Helfenstein,SP,links,Sicherheitsdepartement (SID)
365,4.10.2000,2000/487,Köbi Möri,Parteilos,mitte,Theo Hauri,SVP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
366,21.3.2007,2007/148,Susi Gut,PFZ,rechts,Christian Traber,CVP,mitte,Schul- und Sportdepartement (SSD)
367,30.03.2011,2011/99,Gabriele Kisker,Grüne,links,Ann-Catherine Nabholz,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
368,18.05.2016,2016/171,Markus Knauss,Grüne,links,Christian Traber,CVP,mitte,Polizeidepartement (PD)
369,8.2.2006,2006/56,Pierino Cerliani,Grüne,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
370,6.2.2008,2008/90,Mischa Morgenbesser,FDP,rechts,Richard Rabelbauer,EVP,mitte,Sozialdepartement (SD)
371,27.11.2019,2019/519,Nicole Giger,SP,links,Sven Sobernheim,GLP,mitte,Schul- und Sportdepartement (SSD)
372,22.9.2004,2004/512,Franziska Graf,SP,links,Thomas  Kappeler,CVP,mitte,Gesundheits- und Umweltdepartement (GUD)
373,12.06.2019,2019/257,Sven Sobernheim,GLP,mitte,Res Marti,Grüne,links,Sicherheitsdepartement (SID)
374,03.09.2014,2014/274,Eduard Guggenheim,AL,links,Adrian Gautschi,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
376,13.6.2007,2007/348,Albert Leiser,FDP,rechts,Niklaus Scherr,AL,links,Tiefbau- und Entsorgungsdepartement (TED)
