,Datum,Geschäft,Einreichender 1,Partei 1,Block 1,Einreichender 2,Partei 2,Block 2,Departement
424,06.07.2016,2016/262,Andreas Egli,FDP,rechts,Markus Hungerbühler,CVP,mitte,Polizeidepartement (PD)
425,21.05.2014,2014/165,Andreas Kirstein,AL,links,Isabel Garcia,GLP,mitte,Schul- und Sportdepartement (SSD)
426,16.12.2015,2015/410,Markus Hungerbühler,CVP,mitte,Albert Leiser,FDP,rechts,Polizeidepartement (PD)
427,12.09.2018,2018/341,Andri Silberschmidt,FDP,rechts,Gabriele Kisker,Grüne,links,Hochbaudepartement (HBD)
428,27.01.2016,2016/36,Andrea Nüssli,SP,links,Christian Traber,CVP,mitte,Schul- und Sportdepartement (SSD)
429,12.04.2017,2017/105,Andreas Kirstein,AL,links,Albert Leiser,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
430,01.02.2012,2012/46,Gerhard Bosshard,EVP,mitte,Bernhard Piller,Grüne,links,Hochbaudepartement (HBD)
432,27.5.2009,2009/224,Jean-Claude Virchaux,CVP,mitte,Balthasar Glättli,Grüne,links,Finanzdepartement (FD)
433,29.8.2001,2001/432,Joe A. Manser,SP,links,Urs Lauffer,FDP,rechts,Hochbaudepartement (HBD)
434,12.4.2000,2000/184,Theresa G. Hensch-Stadelmann,FDP,rechts,Willy Furter,EVP,mitte,Gesundheits- und Umweltdepartement (GUD)
435,20.12.2017,2017/463,Patrick Hadi Huber,SP,links,Ann-Catherine Nabholz,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
436,11.03.2015,2015/71,Felix Moser,Grüne,links,Ann-Catherine Nabholz,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
437,11.01.2017,2017/3,Markus Baumann,GLP,mitte,Marcel Müller,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
438,12.7.2006,2006/314,Salvatore Di Concilio,SP,links,Robert Schönbächler,CVP,mitte,Präsidialdepartement (PRD)
439,28.3.2001,2001/195,Köbi Möri,Parteilos,mitte,Theo Hauri,SVP,rechts,Hochbaudepartement (HBD)
440,30.1.2002,2002/41,Beat Badertscher,FDP,rechts,Werner Sieg,SP,links,Präsidialdepartement (PRD)
441,07.11.2018,2018/425,Urs Helfenstein,SP,links,Matthias Wiesmann,GLP,mitte,Präsidialdepartement (PRD)
442,17.9.2008,2008/425,Albert Leiser,FDP,rechts,Josef Widler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
443,09.01.2013,2013/10,Marcel Savarioud,SP,links,Jean-Claude Virchaux,CVP,mitte,Gesundheits- und Umweltdepartement (GUD)
444,06.02.2013,2013/38,Simone Brander,SP,links,Ann-Catherine Nabholz,GLP,mitte,Departement der Industriellen Betriebe (DIB)
445,12.11.2014,2014/365,Cordula Bieri,Grüne,links,Markus Baumann,GLP,mitte,Sozialdepartement (SD)
446,21.08.2019,2019/346,Shaibal Roy,GLP,mitte,Marcel Bührig,Grüne,links,Sicherheitsdepartement (SID)
447,27.05.2015,2015/162,Eduard Guggenheim,AL,links,Marc Bourgeois,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
448,18.8.2004,2004/403,Alecs Recher,AL,links,Robert Schönbächler,CVP,mitte,Hochbaudepartement (HBD)
449,7.5.2008,2008/196,Michael Baumer,FDP,rechts,Claudia Rabelbauer,EVP,mitte,Finanzdepartement (FD)
450,30.10.2002,2002/446,Albert Leiser,FDP,rechts,Robert Schönbächler,CVP,mitte,Präsidialdepartement (PRD)
451,21.11.2001,2001/591,Joe A. Manser,SP,links,Hans-Ulrich Meier,FDP,rechts,Hochbaudepartement (HBD)
452,06.02.2019,2019/59,Pascal Lamprecht,SP,links,Sven Sobernheim,GLP,mitte,Sicherheitsdepartement (SID)
453,22.08.2012,2012/308,Davy Graf,SP,links,Joachim Hagger,FDP,rechts,Finanzdepartement (FD)
454,08.03.2017,2017/48,Markus Hungerbühler,CVP,mitte,Thomas Kleger,FDP,rechts,Sicherheitsdepartement (SID)
455,06.02.2019,2019/58,Pirmin Meyer,GLP,mitte,Marcel Tobler,SP,links,Präsidialdepartement (PRD)
456,30.10.2002,2002/447,Marcel Knörr,FDP,rechts,Hans Diem,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
457,20.11.2002,2002/490,Hans Diem,CVP,mitte,Erika Bärtschi Hafner,FDP,rechts,Hochbaudepartement (HBD)
458,18.8.2004,2004/402,Alecs Recher,AL,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
459,06.02.2013,2013/39,Alan David Sangines,SP,links,Mario Mariani,CVP,mitte,Polizeidepartement (PD)
460,17.9.2008,2008/424,Albert Leiser,FDP,rechts,Josef Widler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
461,12.09.2018,2018/342,Balz Bürgisser,Grüne,links,Ann-Catherine Nabholz,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
462,07.11.2018,2018/424,Andri Silberschmidt,FDP,rechts,Jean-Daniel Strub,SP,links,Hochbaudepartement (HBD)
463,23.8.2006,2006/329,Ruth Anhorn,SVP,rechts,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
464,26.08.2009,2002/40,Robert Kaeser,FDP,rechts,Peter Stähli-Barth,SP,links,Präsidialdepartement (PRD)
465,17.01.2018,2018/18,Dorothea Frei,SP,links,Patrick Albrecht,FDP,rechts,Sicherheitsdepartement (SID)
467,11.01.2017,2017/2,Mario Mariani,CVP,mitte,Mathias Manz,SP,links,Departement der Industriellen Betriebe (DIB)
468,7.1.2004,2004/8,Marlène Butz,SP,links,Georg Schmid,CVP,mitte,Polizeidepartement (PD)
469,06.10.2010,2010/422,Matthias Probst,Grüne,links,Gian von Planta,GLP,mitte,Hochbaudepartement (HBD)
470,25.1.2006,2006/24,Balthasar Glättli,Grüne,links,Michael Baumer,FDP,rechts,Finanzdepartement (FD)
471,08.01.20,1996/57,Kurt Tschopp,CVP,mitte,Monika Spring-Gross,SP,links,Tiefbau- und Entsorgungsdepartement (TED)
472,06.09.2017,2017/304,Ann-Catherine Nabholz,GLP,mitte,Balz Bürgisser,Grüne,links,Departement der Industriellen Betriebe (DIB)
473,27.05.2009,2009/227,Thomas Marthaler,SP,links,Alexander Jäger,FDP,rechts,Schul- und Sportdepartement (SSD)
474,29.3.2000,2000/146,Monika Spring-Gross,SP,links,Robert Schönbächler,CVP,mitte,Polizeidepartement (PD)
475,04.07.2012,2012/286,Mark Richli,SP,links,Samuel Dubno,GLP,mitte,Präsidialdepartement (PRD)
479,11.01.2017,2017/6,Marcel Müller,FDP,rechts,Mario Mariani,CVP,mitte,Hochbaudepartement (HBD)
480,25.5.2005,2005/205,Corine Mauch,SP,links,Ernst Danner,EVP,mitte,Departement der Industriellen Betriebe (DIB)
481,17.01.2018,2018/20,Marcel Müller,FDP,rechts,Markus Hungerbühler,CVP,mitte,Sozialdepartement (SD)
482,21.12.2016,2016/463,Eduard Guggenheim,AL,links,Mario Babini,Parteilos,mitte,Tiefbau- und Entsorgungsdepartement (TED)
483,17.12.2008,2008/583,Bernhard Piller,Grüne,links,Martin Mächler,EVP,mitte,Departement der Industriellen Betriebe (DIB)
484,11.11.2015,2015/359,Mario Babini,Parteilos,mitte,Andreas Egli,FDP,rechts,Polizeidepartement (PD)
485,17.04.2019,2019/155,Florian Blättler,SP,links,Christian Monn,GLP,mitte,Hochbaudepartement (HBD)
486,18.11.2015,2015/365,Pawel Silberring,SP,links,Christian Traber,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
488,17.4.2002,2002/127,Marcel Savarioud,SP,links,Gerold Lauber,CVP,mitte,Gesundheits- und Umweltdepartement (GUD)
489,03.10.2018,2018/385,Eduard Guggenheim,AL,links,Sebastian Vogel,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
490,22.06.2011,2011/219,Gian von Planta,GLP,mitte,Markus Knauss,Grüne,links,Polizeidepartement (PD)
491,10.04.2013,2013/136,Ursula Uttinger,FDP,rechts,Irene Bernhard,GLP,mitte,Sozialdepartement (SD)
492,11.09.2019,2019/380,Guido Hüni,GLP,mitte,Sebastian Vogel,FDP,rechts,Hochbaudepartement (HBD)
493,20.4.2005,2005/166,Heinz Bögle,SP,links,Rosemarie Berthoud,FDP,rechts,Sozialdepartement (SD)
494,19.12.2007,2007/671,Marco V. Camin,FDP,rechts,Joe A. Manser,SP,links,
495,17.01.2018,2018/21,Raphael Kobler,FDP,rechts,Markus Hungerbühler,CVP,mitte,Gesundheits- und Umweltdepartement (GUD)
497,17.12.2008,2008/582,Ueli Nagel,Grüne,links,Claudia Rabelbauer,EVP,mitte,Schul- und Sportdepartement (SSD)
498,25.05.2011,2011/185,Bernhard Piller,Grüne,links,Martin Luchsinger,GLP,mitte,Departement der Industriellen Betriebe (DIB)
499,10.12.1999,1999/617,Hans-Ulrich Meier,FDP,rechts,Romeo Steiner,CVP,mitte,Departement der Industriellen Betriebe (DIB)
500,20.01.2016,2016/30,Elisabeth Schoch,FDP,rechts,Joe A. Manser,SP,links,Gesundheits- und Umweltdepartement (GUD)
501,25.5.2005,2005/210,Joe A. Manser,SP,links,Peter Püntener,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
502,18.11.2009,2009/544,Simon Kälin-Werth,Grüne,links,Christian Traber,CVP,mitte,Polizeidepartement (PD)
503,08.01.20,2012/287,Severin Pflüger,FDP,rechts,Daniel Meier,CVP,mitte,Hochbaudepartement (HBD)
504,3.11.2004,2004/567,Thomas  Kappeler,CVP,mitte,Michael Baumer,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
505,02.11.2011,2011/408,Fiammetta Jahreiss-Montagnani,SP,links,Christian Traber,CVP,mitte,Finanzdepartement (FD)
507,18.06.2014,2014/203,Pawel Silberring,SP,links,Heinz F. Steger,FDP,rechts,Polizeidepartement (PD)
508,7.4.2004,2004/203,Franziska Graf,SP,links,Georg Schmid,CVP,mitte,Departement der Industriellen Betriebe (DIB)
509,3.5.2006,2006/138,Marlène Butz,SP,links,Astrid Hirzel,CVP,mitte,Departement der Industriellen Betriebe (DIB)
510,25.1.2006,2006/23,Michael Baumer,FDP,rechts,Balthasar Glättli,Grüne,links,Finanzdepartement (FD)
511,11.01.2017,2017/5,Pascal Lamprecht,SP,links,Markus Baumann,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
512,28.08.2013,2013/294,Simon Kälin-Werth,Grüne,links,Gerhard Bosshard,EVP,mitte,Hochbaudepartement (HBD)
513,06.10.2010,2010/431,Monika Erfigen,SVP,rechts,Christian Traber,CVP,mitte,Finanzdepartement (FD)
514,28.3.2001,2001/187,Theo Hauri,SVP,rechts,Köbi Möri,Parteilos,mitte,Tiefbau- und Entsorgungsdepartement (TED)
515,17.12.2008,2008/580,Peter Stähli-Barth,SP,links,Ernst Danner,EVP,mitte,Hochbaudepartement (HBD)
516,07.11.2018,2018/423,Marco Denoth,SP,links,Albert Leiser,FDP,rechts,Hochbaudepartement (HBD)
517,16.01.2013,2013/16,Peter Küng,SP,links,Michèle Halser-Furrer,EVP,mitte,Finanzdepartement (FD)
518,15.05.2019,2019/195,Christine Seidler,SP,links,Isabel Garcia,GLP,mitte,Präsidialdepartement (PRD)
521,10.04.2013,2013/135,Joachim Hagger,FDP,rechts,Bernhard Piller,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
522,04.09.2019,2017/263,Albert Leiser,FDP,rechts,Andreas Kirstein,AL,links,Tiefbau- und Entsorgungsdepartement (TED)
523,03.04.2013,2013/121,Samuel Dubno,GLP,mitte,Urs Egger,FDP,rechts,Gesundheits- und Umweltdepartement (GUD)
524,18.09.2019,2019/396,Markus Baumann,GLP,mitte,Pascal Lamprecht,SP,links,Sicherheitsdepartement (SID)
526,06.02.2019,2019/62,Ernst Danner,EVP,mitte,Christina Schiller,AL,links,Sozialdepartement (SD)
527,03.06.2015,2015/171,Marcel Savarioud,SP,links,Karin Weyermann,CVP,mitte,Gesundheits- und Umweltdepartement (GUD)
528,20.4.2005,2005/165,Anna Brändle Galliker,SP,links,Gerold Lauber,CVP,mitte,Sozialdepartement (SD)
529,19.08.2009,2009/355,Albert Leiser,FDP,rechts,Daniel Leupi,Grüne,links,Tiefbau- und Entsorgungsdepartement (TED)
530,03.10.2018,2018/387,Marcel Bührig,Grüne,links,Isabel Garcia,GLP,mitte,Gesundheits- und Umweltdepartement (GUD)
531,16.01.2013,2013/17,Florian Utz,SP,links,Michèle Halser-Furrer,EVP,mitte,Finanzdepartement (FD)
532,10.12.2003,2003/487,Daniel Leupi,Grüne,links,Ernst Danner,EVP,mitte,Polizeidepartement (PD)
533,21.12.2016,2016/461,Pawel Silberring,SP,links,Christian Traber,CVP,mitte,Sicherheitsdepartement (SID)
534,28.08.2013,2013/295,Simon Kälin-Werth,Grüne,links,Martin Luchsinger,GLP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
535,25.5.2005,2005/207,Hans Jörg Käppeli,SP,links,Heinz F. Steger,FDP,rechts,Tiefbau- und Entsorgungsdepartement (TED)
536,16.1.2008,2008/33,Marlène Butz,SP,links,Astrid Hirzel,CVP,mitte,Polizeidepartement (PD)
538,25.1.2006,2006/22,Andreas Ammann,SP,links,Robert Schönbächler,CVP,mitte,Tiefbau- und Entsorgungsdepartement (TED)
539,3.5.2006,2006/139,Marlène Butz,SP,links,Robert Schönbächler,CVP,mitte,Departement der Industriellen Betriebe (DIB)
540,9.1.2008,2008/3,Joe A. Manser,SP,links,Mario Mariani,CVP,mitte,Präsidialdepartement (PRD)
