,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
734,19.11.2003,2003/440,Roger Liebi,SVP,Catrina Luchsinger Gähwiler,FDP,Finanzdepartement (FD)
735,16.01.2013,2013/13,Gian von Planta,GLP,Patrick Hadi Huber,SP,
736,11.12.2013,2013/440,2013_0440 Protokollauszug Beschluss.pdf,32 KB,2013_0440 Protokollauszug substanziell.pdf,35 KB,"Abschreibung, Geschäftsbericht"
737,28.9.2005,2005/388,Markus Schwyn,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
738,23.09.2009,2009/437,Josef Widler,CVP,Ernst Danner,EVP,Gesundheits- und Umweltdepartement (GUD)
739,30.10.2002,2002/445,Hans-Ulrich Meier,FDP,Alexander Weber,SVP,Finanzdepartement (FD)
740,23.08.2017,2017/266,Markus Baumann,GLP,Alexander Brunner,FDP,
741,30.10.2002,2002/450,Markus Schwyn,PFZ,Raphaela-Franziska Ulcay-Hauser,SVP,Gesundheits- und Umweltdepartement (GUD)
742,09.01.2013,2013/5,Esther Straub,SP,Kathy Steiner,Grüne,Polizeidepartement (PD)
743,27.05.2015,2015/160,Roger-Paul Speck,SP,Sven Sobernheim,GLP,
744,13.03.2019,2019/98,Markus Merki,GLP,Stefan Urech,SVP,Gemeinderat
745,11.5.2005,2005/174,Robert Schönbächler,CVP,Anton Stäbler,,Tiefbau- und Entsorgungsdepartement (TED)
746,26.11.2003,2003/455,Markus Schwyn,PFZ,Roger Bartholdi,SVP,Tiefbau- und Entsorgungsdepartement (TED)
747,06.07.2016,2016/262,Andreas Egli,FDP,Markus Hungerbühler,CVP,
748,31.08.2016,2016/289,Karin Meier-Bohrer,Grüne,Michel Urben,SP,
749,21.05.2014,2014/165,Andreas Kirstein,AL,Isabel Garcia,GLP,Schul- und Sportdepartement (SSD)
750,17.12.2003,2003/496,Susi Gut,PFZ,Roger Liebi,SVP,Präsidialdepartement (PRD)
751,12.09.2018,2018/341,Andri Silberschmidt,FDP,Gabriele Kisker,Grüne,Stadtrat
752,27.01.2016,2016/36,Andrea Nüssli,SP,Christian Traber,CVP,
753,6.2.2002,2002/57,Robert Schönbächler,CVP,Willy Furter,EVP,Tiefbau- und Entsorgungsdepartement (TED)
754,25.10.2006,2006/458,Richard Rabelbauer,EVP,Daniel Meier,CVP,Finanzdepartement (FD)
755,28.3.2001,2001/197,Ruth Anhorn,SVP,Markus Schwyn,PFZ,Sozialdepartement (SD)
756,21.12.2016,2016/470,Hans Jörg Käppeli,SP,Markus Knauss,Grüne,
757,12.04.2017,2017/105,Andreas Kirstein,AL,Albert Leiser,FDP,
758,14.3.2001,2001/154,Markus Schwyn,PFZ,Jürg Casparis,SVP,Tiefbau- und Entsorgungsdepartement (TED)
759,13.06.2018,2018/221,Anjushka Früh,SP,Luca Maggi,Grüne,Sicherheitsdepartement (SID)
760,6.9.2000,2000/435,Markus Schwyn,PFZ,Arthur Bernet,SVP,Polizeidepartement (PD)
761,01.02.2012,2012/46,Gerhard Bosshard,EVP,Bernhard Piller,Grüne,Hochbaudepartement (HBD)
762,4.2.1998,1998/45,Placidus Maissen,,Robert Schönbächler,CVP,Polizeidepartement (PD)
763,3.7.2002,2002/242,Robert Schönbächler,CVP,Ernst Danner,EVP,Polizeidepartement (PD)
764,14.7.1999,1999/349,Silvia Seiz,SP,Niklaus Scherr,AL,Finanzdepartement (FD)
765,14.04.2010,2010/186,Marcel Z'graggen,CVP,Martin Mächler,EVP,
766,5.4.2000,2000/179,Markus Schwyn,PFZ,Thomas Meier,SVP,Sozialdepartement (SD)
767,26.05.2010,2000/145,Monika Spring-Gross,SP,Katharina Prelicz-Huber,Grüne,
768,27.5.2009,2009/224,Jean-Claude Virchaux,CVP,Balthasar Glättli,Grüne,Finanzdepartement (FD)
769,22.8.2001,2001/424,Mauro Tuena,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
770,28.8.2002,2002/297,Andreas J. Schlegel,,Erika Bärtschi Hafner,FDP,Polizeidepartement (PD)
771,29.3.2000,2000/147,Katharina Prelicz-Huber,Grüne,Monika Spring-Gross,SP,Tiefbau- und Entsorgungsdepartement (TED)
772,29.8.2001,2001/432,Joe A. Manser,SP,Urs Lauffer,,Hochbaudepartement (HBD)
773,12.4.2000,2000/184,Theresa G. Hensch-Stadelmann,FDP,Willy Furter,EVP,Gesundheits- und Umweltdepartement (GUD)
774,14.04.2010,2010/190,Hans Bachmann,FDP,Ruth Anhorn,SVP,Tiefbau- und Entsorgungsdepartement (TED)
775,20.12.2017,2017/463,Patrick Hadi Huber,SP,Ann-Catherine Nabholz,GLP,Stadtrat
776,11.03.2015,2015/71,Felix Moser,Grüne,Ann-Catherine Nabholz,GLP,
777,1.9.1999,1999/405,Romeo Steiner,CVP,Willy Furter,EVP,Hochbaudepartement (HBD)
778,6.12.2001,2001/630,Niklaus Scherr,AL,Katharina Prelicz-Huber,Grüne,Finanzdepartement (FD)
779,6.9.2000,2000/437,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
780,15.11.2006,2006/499,Gregor Bucher,,Mischa Morgenbesser,FDP,Präsidialdepartement (PRD)
781,11.01.2017,2017/3,Markus Baumann,GLP,Marcel Müller,FDP,Stadtrat
782,12.7.2006,2006/314,Salvatore Di Concilio,SP,Robert Schönbächler,CVP,
783,2.3.2005,2005/74,Min Li Marti,SP,Christoph Hug,Grüne,
784,28.3.2001,2001/195,Köbi Möri,Parteilos,Theo Hauri,SVP,Hochbaudepartement (HBD)
785,31.01.2018,2018/31,Jean-Daniel Strub,SP,Rosa Maino,AL,Stadtrat
786,9.2.2005,2005/48,Susi Gut,PFZ,Roger Liebi,SVP,Präsidialdepartement (PRD)
787,30.1.2002,2002/41,Beat Badertscher,FDP,Werner Sieg,SP,
788,07.11.2018,2018/425,Urs Helfenstein,SP,Matthias Wiesmann,GLP,Stadtrat
789,16.12.2015,2015/406,Christina Schiller,AL,Alan David Sangines,SP,
790,28.03.2012,2012/136,Matthias Probst,Grüne,Richard Wolff,AL,Tiefbau- und Entsorgungsdepartement (TED)
791,10.9.2003,2003/331,Heidi Bucher-Steinegger,Grüne,Werner Sieg,SP,Polizeidepartement (PD)
792,3.9.2003,2003/325,Cornelia Schaub,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
793,2.2.2000,2000/44,Niklaus Scherr,AL,Balthasar Glättli,Grüne,Gesundheits- und Umweltdepartement (GUD)
794,06.02.2013,2013/38,Simone Brander,SP,Ann-Catherine Nabholz,GLP,
795,12.11.2014,2014/365,Cordula Bieri,Grüne,Markus Baumann,GLP,Sozialdepartement (SD)
796,21.08.2019,2019/346,Shaibal Roy,GLP,Marcel Bührig,Grüne,Stadtrat
797,27.05.2015,2015/162,Eduard Guggenheim,AL,Marc Bourgeois,FDP,Geschäftsbericht Stadtrat
798,18.8.2004,2004/403,Alecs Recher,AL,Robert Schönbächler,CVP,Hochbaudepartement (HBD)
799,7.5.2008,2008/196,Michael Baumer,FDP,Claudia Rabelbauer,EVP,
800,05.12.2012,2012/452,Bernhard Piller,Grüne,Andreas Edelmann,SP,Departement der Industriellen Betriebe (DIB)
801,4.9.2002,2002/320,Roger Liebi,SVP,Markus Schwyn,PFZ,Präsidialdepartement (PRD)
802,30.10.2002,2002/446,Albert Leiser,FDP,Robert Schönbächler,CVP,Präsidialdepartement (PRD)
803,21.11.2001,2001/591,Joe A. Manser,SP,Hans-Ulrich Meier,FDP,Hochbaudepartement (HBD)
804,06.02.2019,2019/59,Pascal Lamprecht,SP,Sven Sobernheim,GLP,Gemeinderat
805,02.09.2009,2009/391,Salvatore Di Concilio,SP,Peider Filli,Grüne,Departement der Industriellen Betriebe (DIB)
806,22.08.2012,2012/308,Davy Graf,SP,Joachim Hagger,FDP,Finanzdepartement (FD)
807,21.1.2004,2004/35,Markus Schwyn,PFZ,Monika Erfigen,SVP,Gesundheits- und Umweltdepartement (GUD)
808,10.11.1999,1999/564,Lorenz Habicher,SVP,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
809,27.02.2019,2019/70,Balz Bürgisser,Grüne,Jean-Daniel Strub,SP,Gemeinderat
810,06.02.2019,2019/58,Pirmin Meyer,GLP,Marcel Tobler,SP,Stadtrat
811,2.4.2003,2003/126,Cornelia Schaub,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
812,30.10.2002,2002/447,Marcel Knörr,FDP,Hans Diem,CVP,Tiefbau- und Entsorgungsdepartement (TED)
813,7.7.2004,2004/364,Martin Burger,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
814,11.5.2005,2005/177,Susi Gut,PFZ,Bruno Sidler,SVP,Präsidialdepartement (PRD)
815,20.11.2002,2002/490,Hans Diem,CVP,Erika Bärtschi Hafner,FDP,Hochbaudepartement (HBD)
816,18.8.2004,2004/402,Alecs Recher,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
817,26.3.2008,2008/140,Martin Sarbach,SP,Markus Knauss,Grüne,
818,06.02.2013,2013/39,Alan David Sangines,SP,Mario Mariani,CVP,
819,3.9.2003,2003/324,Susi Gut,PFZ,Bruno Wohler,SVP,Stadtschreiber/in (STS)
820,19.11.2003,2003/442,Ernst Danner,EVP,Gerold Lauber,CVP,Departement der Industriellen Betriebe (DIB)
821,30.11.2006,2008/395,Claudia Rabelbauer,EVP,Mario Mariani,CVP,
822,10.5.2000,2000/224,Monjek Rosenheim,FDP,Andreas J. Schlegel,,Polizeidepartement (PD)
823,12.09.2018,2018/342,Balz Bürgisser,Grüne,Ann-Catherine Nabholz,GLP,Stadtrat
824,07.11.2018,2018/424,Andri Silberschmidt,FDP,Jean-Daniel Strub,SP,Stadtrat
825,29.4.2009,2009/145,Beatrice Reimann,SP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
826,25.11.2015,2015/375,Anjushka Früh,SP,Eva Hirsiger,Grüne,
827,12.12.2007,2007/648,Daniel Meier,CVP,Peter Anderegg,EVP,Finanzdepartement (FD)
828,26.08.2009,2002/40,Robert Kaeser,FDP,Peter Stähli-Barth,SP,
829,17.01.2018,2018/18,Dorothea Frei,SP,Patrick Albrecht,FDP,
830,12.04.2017,2017/106,Marcel Bührig,Grüne,Jean-Daniel Strub,SP,Stadtrat
831,12.7.2006,2006/315,Anton Stäbler,,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
832,11.01.2017,2017/2,Mario Mariani,CVP,Mathias Manz,SP,
833,7.1.2004,2004/8,Marlène Butz,SP,Georg Schmid,CVP,Polizeidepartement (PD)
834,17.12.2008,2008/578,Ruth Anhorn,SVP,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
835,06.10.2010,2010/422,Matthias Probst,Grüne,Gian von Planta,GLP,
836,6.9.2000,2000/436,Markus Schwyn,PFZ,Arthur Bernet,SVP,Polizeidepartement (PD)
837,08.01.20,2017/338,Katharina Prelicz-Huber,Grüne,Gabriela Rothenfluh,SP,
838,25.1.2006,2006/24,Balthasar Glättli,Grüne,Michael Baumer,FDP,Finanzdepartement (FD)
839,4.12.2002,2002/527,Susann Birrer,FDP,Monika Piesbergen,,
840,08.01.20,1996/57,Kurt Tschopp,CVP,Monika Spring-Gross,SP,Tiefbau- und Entsorgungsdepartement (TED)
841,06.09.2017,2017/304,Ann-Catherine Nabholz,GLP,Balz Bürgisser,Grüne,Stadtrat
842,16.1.2008,2008/21,Richard Rabelbauer,EVP,Josef Widler,CVP,Sozialdepartement (SD)
843,14.04.2010,2010/191,Hans Bachmann,FDP,Ruth Anhorn,SVP,Tiefbau- und Entsorgungsdepartement (TED)
844,04.04.2012,2010/146,Christine Seidler,SP,Alecs Recher,AL,Präsidialdepartement (PRD)
845,29.3.2000,2000/146,Monika Spring-Gross,SP,Robert Schönbächler,CVP,Polizeidepartement (PD)
846,20.12.2000,2000/620,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
847,08.01.20,1995/181,Theres Renner,FraP,Anita Zimmerling Enkelmann,SP,Finanzdepartement (FD)
848,7.4.2004,2004/200,Gregor Bucher,,Myriam Barzotto,SP,Schul- und Sportdepartement (SSD)
849,03.06.2009,2009/237,Mario Mariani,CVP,Urs Rechsteiner,,Tiefbau- und Entsorgungsdepartement (TED)
850,22.8.2001,2001/423,Mauro Tuena,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
851,08.02.2012,2012/55,Ueli Nagel,Grüne,Richard Wolff,AL,Tiefbau- und Entsorgungsdepartement (TED)
852,21.8.2002,2002/279,Ernst Danner,EVP,Georg Schmid,CVP,Polizeidepartement (PD)
853,27.5.1998,1998/161,Markus Schwyn,PFZ,Emil Grabherr,SVP,Sozialdepartement (SD)
854,30.05.2007,2007/300,Gregor Bucher,,Balthasar Glättli,Grüne,Schul- und Sportdepartement (SSD)
855,09.12.2009,2009/592,Alecs Recher,AL,Karin Rykart Sutter,Grüne,
856,08.11.2006,2006/488,Richard Rabelbauer,EVP,Daniel Meier,CVP,Finanzdepartement (FD)
857,25.5.2005,2005/205,Corine Mauch,SP,Ernst Danner,EVP,
858,2.12.1999,1999/602,Niklaus Scherr,AL,Katharina Prelicz-Huber,Grüne,Sozialdepartement (SD)
859,17.01.2018,2018/20,Marcel Müller,FDP,Markus Hungerbühler,CVP,Stadtrat
860,21.12.2016,2016/463,Eduard Guggenheim,AL,Mario Babini,Parteilos,Stadtrat
861,17.12.2008,2008/583,Bernhard Piller,Grüne,Martin Mächler,EVP,
862,1.12.2004,2004/638,Susi Gut,PFZ,Marina Garzotto,SVP,Sozialdepartement (SD)
863,17.04.2019,2019/155,Florian Blättler,SP,Christian Monn,GLP,Stadtrat
864,18.11.2015,2015/365,Pawel Silberring,SP,Christian Traber,CVP,Stadtrat
865,17.4.2002,2002/127,Marcel Savarioud,SP,Gerold Lauber,CVP,Gesundheits- und Umweltdepartement (GUD)
866,03.10.2018,2018/385,Eduard Guggenheim,AL,Sebastian Vogel,FDP,
867,15.05.2019,2019/196,Olivia Romanelli,AL,Pawel Silberring,SP,Stadtrat
868,08.01.20,2013/2,Marcel Z'graggen,CVP,Martin Mächler,EVP,
869,22.06.2011,2011/219,Gian von Planta,GLP,Markus Knauss,Grüne,
870,20.4.2005,2005/167,Alecs Recher,AL,Balthasar Glättli,Grüne,Sozialdepartement (SD)
871,26.3.2008,2008/144,Mario Mariani,CVP,Claudia Rabelbauer,EVP,
872,18.8.,2004/406,Markus Knauss,Grüne,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
873,06.02.2019,2019/60,Simone Brander,SP,Eduard Guggenheim,AL,Stadtrat
874,15.1.2003,2003/10,Cornelia Schaub,SVP,Markus Schwyn,PFZ,Präsidialdepartement (PRD)
875,11.9.2002,2002/331,Roger Liebi,SVP,Markus Schwyn,PFZ,
876,10.04.2013,2013/136,Ursula Uttinger,FDP,Irene Bernhard,GLP,
877,11.09.2019,2019/380,Guido Hüni,GLP,Sebastian Vogel,FDP,Stadtrat
878,26.08.2009,2009/381,Peter Anderegg,EVP,Daniel Meier,CVP,
879,14.1.2004,2004/24,Monika Erfigen,SVP,Susi Gut,PFZ,Finanzdepartement (FD)
880,7.7.2004,2004/361,Markus Schwyn,PFZ,Martin Burger,SVP,Präsidialdepartement (PRD)
881,7.11.2001,2001/556,Susann Birrer,FDP,Monika Piesbergen,,Tiefbau- und Entsorgungsdepartement (TED)
882,20.4.2005,2005/166,Heinz Bögle,SP,Rosemarie Berthoud,FDP,Sozialdepartement (SD)
883,05.11.2014,2014/349,Simone Brander,SP,Markus Knauss,Grüne,
884,22.11.2006,2006/516,Corine Mauch,SP,Balthasar Glättli,Grüne,Sozialdepartement (SD)
885,03.10.2018,2018/384,Monika Bätschmann,Grüne,Marion Schmid,SP,Stadtrat
886,17.09.2008,2008/421,Marianne Spieler Frauenfelder,SP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
887,17.11.2004,2004/605,Markus Schwyn,PFZ,Martin Burger,SVP,Polizeidepartement (PD)
888,21.05.2014,2014/163,Marcel Bührig,Grüne,Simone Brander,SP,Polizeidepartement (PD)
889,17.04.2019,2019/154,Marco Denoth,SP,Markus Kunz,Grüne,Präsidialdepartement (PRD)
890,2.7.2003,2003/255,Balthasar Glättli,Grüne,Mark Roth,SP,
891,17.01.2018,2018/21,Raphael Kobler,FDP,Markus Hungerbühler,CVP,
892,7.3.2007,2007/103,Myriam Barzotto,SP,Gregor Bucher,,Präsidialdepartement (PRD)
893,17.12.2008,2008/582,Ueli Nagel,Grüne,Claudia Rabelbauer,EVP,Schul- und Sportdepartement (SSD)
894,10.12.1999,1999/617,Hans-Ulrich Meier,FDP,Romeo Steiner,CVP,Departement der Industriellen Betriebe (DIB)
895,21.8.2002,2002/278,Ernst Danner,EVP,Georg Schmid,CVP,Polizeidepartement (PD)
896,8.9.1999,1999/415,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
897,1.9.1999,1999/401,Markus Schwyn,PFZ,Thomas Meier,SVP,Sozialdepartement (SD)
898,20.6.2001,2001/344,Luzi Rüegg,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
899,08.01.20,2012/287,Severin Pflüger,FDP,Daniel Meier,CVP,
900,03.06.2009,2009/236,Ruth Ackermann,CVP,Ernst Danner,EVP,
901,3.11.2004,2004/567,Thomas  Kappeler,CVP,Michael Baumer,FDP,Tiefbau- und Entsorgungsdepartement (TED)
902,02.11.2011,2011/408,Fiammetta Jahreiss-Montagnani,SP,Christian Traber,CVP,Finanzdepartement (FD)
903,18.06.2014,2014/203,Pawel Silberring,SP,Heinz F. Steger,FDP,
904,3.11.2004,2004/571,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
905,7.4.2004,2004/203,Franziska Graf,SP,Georg Schmid,CVP,
906,3.5.2006,2006/138,Marlène Butz,SP,Astrid Hirzel,CVP,
907,9.7.1997,1997/285,Markus Bischoff,AL,Christoph Hug,Grüne,Finanzdepartement (FD)
908,25.1.2006,2006/23,Michael Baumer,FDP,Balthasar Glättli,Grüne,Finanzdepartement (FD)
909,5.12.2001,2001/622,Bruno Sidler,SVP,Markus Schwyn,PFZ,Präsidialdepartement (PRD)
910,3.12.2008,2008/543,Pierino Cerliani,Grüne,Marianne Spieler Frauenfelder,SP,Gesundheits- und Umweltdepartement (GUD)
911,28.08.2013,2013/294,Simon Kälin-Werth,Grüne,Gerhard Bosshard,EVP,Hochbaudepartement (HBD)
912,2.12.1998,1998/406,Jürg Liebermann,,Beat Badertscher,FDP,Tiefbau- und Entsorgungsdepartement (TED)
913,28.3.2001,2001/187,Theo Hauri,SVP,Köbi Möri,Parteilos,Tiefbau- und Entsorgungsdepartement (TED)
914,25.10.2006,2006/460,Thomas  Kappeler,CVP,Katrin Schönenberger-Meier,EVP,Tiefbau- und Entsorgungsdepartement (TED)
915,17.12.2008,2008/580,Peter Stähli-Barth,SP,Ernst Danner,EVP,
916,26.10.2005,2005/428,Mauro Tuena,SVP,Susi Gut,PFZ,Sozialdepartement (SD)
917,17.04.2019,2019/156,Muammer Kurtulmus,Grüne,Urs Helfenstein,SP,Gemeinderat
918,18.3.2009,2009/99,Marcel Z'graggen,CVP,Richard Rabelbauer,EVP,
919,07.11.2018,2018/423,Marco Denoth,SP,Albert Leiser,FDP,
920,3.9.2003,2003/323,Balthasar Glättli,Grüne,Mark Roth,SP,Finanzdepartement (FD)
921,16.01.2013,2013/16,Peter Küng,SP,Michèle Halser-Furrer,EVP,
922,15.05.2019,2019/195,Christine Seidler,SP,Isabel Garcia,GLP,
923,20.4.2005,2005/170,Pierino Cerliani,Grüne,Gregor Bucher,,Präsidialdepartement (PRD)
924,03.06.2015,2015/170,Simon Diggelmann,SP,Matthias Probst,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
925,12.11.2014,2014/363,Andrea Leitner Verhoeven,AL,Gabriele Kisker,Grüne,Hochbaudepartement (HBD)
926,6.11.2002,2002/468,Susann Birrer,FDP,Monika Piesbergen,,Sozialdepartement (SD)
927,14.1.2004,2004/26,Gregor Bucher,,Daniel Leupi,Grüne,
928,10.04.2013,2013/135,Joachim Hagger,FDP,Bernhard Piller,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
929,04.09.2019,2017/263,Albert Leiser,FDP,Andreas Kirstein,AL,
930,03.04.2013,2013/121,Samuel Dubno,GLP,Urs Egger,FDP,Gesundheits- und Umweltdepartement (GUD)
931,08.06.2016,2007/510,Franziska Graf,SP,Daniel Leupi,Grüne,
932,03.04.2013,2013/120,Rebekka Wyler,SP,Thomas Wyss,Grüne,
933,06.02.2019,2019/62,Ernst Danner,EVP,Christina Schiller,AL,Gemeinderat
934,03.06.2015,2015/171,Marcel Savarioud,SP,Karin Weyermann,CVP,Gesundheits- und Umweltdepartement (GUD)
935,20.4.2005,2005/165,Anna Brändle Galliker,SP,Gerold Lauber,CVP,Sozialdepartement (SD)
936,19.08.2009,2009/355,Albert Leiser,FDP,Daniel Leupi,Grüne,
937,12.12.2012,2012/482,Andrea Hochreutener,SP,Jürg Ammann,Grüne,
938,03.10.2018,2018/387,Marcel Bührig,Grüne,Isabel Garcia,GLP,Stadtrat
939,16.01.2013,2013/17,Florian Utz,SP,Michèle Halser-Furrer,EVP,
940,31.3.,2004/174,Susi Gut,PFZ,Bruno Wohler,SVP,Hochbaudepartement (HBD)
941,08.01.20,2009/143,Claudia Nielsen,SP,Markus Knauss,Grüne,Polizeidepartement (PD)
942,10.12.2003,2003/487,Daniel Leupi,Grüne,Ernst Danner,EVP,Polizeidepartement (PD)
943,26.10.2005,2005/429,Susi Gut,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
944,21.12.2016,2016/461,Pawel Silberring,SP,Christian Traber,CVP,
945,30.1.2002,2002/46,Balthasar Glättli,Grüne,Joe A. Manser,SP,Finanzdepartement (FD)
946,28.08.2013,2013/295,Simon Kälin-Werth,Grüne,Martin Luchsinger,GLP,Tiefbau- und Entsorgungsdepartement (TED)
947,25.5.2005,2005/207,Hans Jörg Käppeli,SP,Heinz F. Steger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
948,16.1.2008,2008/33,Marlène Butz,SP,Astrid Hirzel,CVP,Polizeidepartement (PD)
949,17.1.2001,2001/17,Placidus Maissen,,Robert Schönbächler,CVP,Polizeidepartement (PD)
950,25.1.2006,2006/22,Andreas Ammann,,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
951,1.9.1999,1999/402,Renate Fässler,SP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
952,3.5.2006,2006/139,Marlène Butz,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
953,9.1.2008,2008/3,Joe A. Manser,SP,Mario Mariani,CVP,Präsidialdepartement (PRD)
954,9.7.1997,1997/284,Silvio Scotoni,FDP,Peter Marti,,Polizeidepartement (PD)
955,7.4.2004,2004/202,Alecs Recher,AL,Muriel Herzig,Grüne,Sozialdepartement (SD)
956,25.11.2009,2009/547,André Odermatt,SP,Daniel Leupi,Grüne,
957,3.11.2004,2004/570,Susi Gut,PFZ,Roger Bartholdi,SVP,Tiefbau- und Entsorgungsdepartement (TED)
