,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
534,22.3.2000,2000/132,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
535,05.06.2019,2019/245,Luca Maggi,Grüne,Simon Diggelmann,SP,Gemeinderat
536,22.9.2004,2004/514,Pierino Cerliani,Grüne,Gregor Bucher,,
537,19.06.2019,2019/279,Markus Merki,GLP,Ernst Danner,EVP,Stadtrat
538,26.9.2001,2001/479,Karl Gafner,FDP,Andreas J. Schlegel,,
539,1.2.2006,2006/46,Roger Tognella,FDP,Bruno Wohler,SVP,Tiefbau- und Entsorgungsdepartement (TED)
540,29.9.1999,1999/472,Markus Schwyn,PFZ,Christian Mettler,SVP,Sozialdepartement (SD)
541,13.04.2011,2011/121,Severin Pflüger,FDP,Kurt Hüssy,SVP,
542,7.3.2001,2001/109,Mauro Tuena,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
543,23.03.2011,2011/89,Michael Baumer,FDP,Markus Knauss,Grüne,Schul- und Sportdepartement (SSD)
544,06.01.2010,2010/6,Robert Schönbächler,CVP,Ernst Danner,EVP,Tiefbau- und Entsorgungsdepartement (TED)
545,11.06.2008,2008/268,Bernhard Piller,Grüne,Ernst Danner,EVP,
546,18.6.2008,2008/283,Walter Angst,AL,Corine Mauch,SP,Finanzdepartement (FD)
547,23.1.2002,2002/22,Andreas J. Schlegel,,Robert Eggler,FDP,Präsidialdepartement (PRD)
548,30.1.2002,2002/36,Hans Marolf,SVP,Marcel Knörr,FDP,Sozialdepartement (SD)
549,3.3.2004,2004/104,Ueli Nagel,Grüne,Willy Furter,EVP,Hochbaudepartement (HBD)
550,24.8.2005,2005/317,Susi Gut,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
551,02.04.2014,2014/110,Bernhard Piller,Grüne,Andrea Leitner Verhoeven,AL,
552,25.10.2000,2000/508,Köbi Möri,Parteilos,Mauro Tuena,SVP,Sozialdepartement (SD)
