,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
261,29.06.2016,2016/253,Ann-Catherine Nabholz,GLP,Jean-Daniel Strub,SP,Tiefbau- und Entsorgungsdepartement (TED)
262,08.01.20,1996/100,André Odermatt,SP,Niklaus Scherr,AL,Departement der Industriellen Betriebe (DIB)
263,06.03.2019,2019/81,Nicole Giger,SP,Andri Silberschmidt,FDP,Sicherheitsdepartement (SID)
265,13.4.2005,2005/151,Bernhard Piller,Grüne,Franziska Graf,SP,Departement der Industriellen Betriebe (DIB)
266,13.4.2005,2005/145,Susi Gut,PFZ,Bruno Wohler,SVP,Präsidialdepartement (PRD)
268,12.07.2017,2017/256,Andreas Egli,FDP,Stephan Iten,SVP,Finanzdepartement (FD)
269,18.09.2019,2017/243,Marco Denoth,SP,Sven Sobernheim,GLP,Tiefbau- und Entsorgungsdepartement (TED)
270,6.11.2002,2002/474,Dorothea Frei,SP,Simone Bertogg-Baudet,Grüne,Schul- und Sportdepartement (SSD)
272,15.03.2017,2017/52,Roger-Paul Speck,SP,Markus Merki,GLP,Schul- und Sportdepartement (SSD)
273,03.12.2014,2014/394,Markus Knauss,Grüne,Patrick Hadi Huber,SP,Hochbaudepartement (HBD)
274,21.02.2019,2019/57,Luca Maggi,Grüne,Christina Schiller,AL,Sicherheitsdepartement (SID)
275,16.09.2009,2009/406,Alexander Jäger,FDP,Bernhard Piller,Grüne,Departement der Industriellen Betriebe (DIB)
276,30.6.2004,2004/343,Markus Schwyn,PFZ,Monika Erfigen,SVP,Sozialdepartement (SD)
277,11.5.2005,2005/178,Susi Gut,PFZ,Bruno Sidler,SVP,Präsidialdepartement (PRD)
278,18.8.2004,2004/419,Andreas Ammann,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
279,08.01.20,2019/80,Markus Knauss,Grüne,Simone Brander,SP,Sicherheitsdepartement (SID)
280,7.4.2004,2004/196,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
281,29.06.2016,2016/252,Christina Schiller,AL,Guy Krayenbühl,GLP,Departement der Industriellen Betriebe (DIB)
282,14.03.2012,2012/104,Peter Küng,SP,Ueli Nagel,Grüne,Departement der Industriellen Betriebe (DIB)
283,11.09.2013,2013/317,Peter Küng,SP,Michael Schmid,FDP,Schul- und Sportdepartement (SSD)
284,08.01.20,2012/138,Bernhard Piller,Grüne,Helen Glaser,SP,Departement der Industriellen Betriebe (DIB)
285,9.2.2000,2000/76,Mauro Tuena,SVP,Markus Schwyn,PFZ,Departement der Industriellen Betriebe (DIB)
286,24.3.2004,2004/155,Susi Gut,PFZ,Monika Erfigen,SVP,Gesundheits- und Umweltdepartement (GUD)
287,16.12.2009,2009/604,Daniel Leupi,Grüne,Walter Angst,AL,Präsidialdepartement (PRD)
288,31.08.2016,2016/291,Markus Merki,GLP,Pascal Lamprecht,SP,Präsidialdepartement (PRD)
289,5.7.2006,2006/291,Robert Schönbächler,CVP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
290,08.01.20,1997/110,Theres Renner,FraP,Susanne Erdös-Schärer,SP,Schul- und Sportdepartement (SSD)
291,5.10.2005,2005/408,Christine Seidler,SP,Gerold Lauber,CVP,Departement der Industriellen Betriebe (DIB)
292,03.07.2013,2013/263,Alexander Jäger,FDP,Kyriakos Papageorgiou,SP,Tiefbau- und Entsorgungsdepartement (TED)
293,1.11.2006,2006/468,Robert Schönbächler,CVP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
294,21.12.2016,2016/468,Hans Jörg Käppeli,SP,Markus Knauss,Grüne,Departement der Industriellen Betriebe (DIB)
295,15.6.2005,2005/232,Susi Gut,PFZ,Cornelia Schaub,SVP,Präsidialdepartement (PRD)
297,01.09.2010,2010/363,Jacqueline Badran,SP,Niklaus Scherr,AL,Finanzdepartement (FD)
298,7.1.2004,2004/7,Daniel Leupi,Grüne,Mark Roth,SP,Tiefbau- und Entsorgungsdepartement (TED)
299,04.02.2015,2015/43,Petek Altinay,SP,Christina Hug,Grüne,"Präsidialdepartement (PRD), Stadtschreiber/in (STS)"
300,6.6.2007,2007/323,Mario Mariani,CVP,Bruno Wohler,SVP,Sozialdepartement (SD)
301,14.7.1999,1999/345,Markus Bischoff,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
302,11.12.2009,2009/599,Monika Bloch Süss,CSP,Martin Abele,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
303,22.05.2019,2019/214,Urs Egger,FDP,Anjushka Früh,SP,Schul- und Sportdepartement (SSD)
304,02.12.2009,2009/566,Walter Angst,AL,Balthasar Glättli,Grüne,Präsidialdepartement (PRD)
305,12.9.2007,2007/492,Martin Sarbach,SP,Alecs Recher,AL,Polizeidepartement (PD)
309,22.05.2019,2019/228,Simone Brander,SP,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
310,28.8.2002,2002/299,Markus Schwyn,PFZ,Rolf André Siegenthaler-Benz,SVP,Polizeidepartement (PD)
311,14.12.2011,2009/501,Peter Anderegg,EVP,Daniel Meier,CVP,Gesundheits- und Umweltdepartement (GUD)
312,20.10.2004,2004/536,Susi Gut,PFZ,Bernhard Britschgi,SVP,Departement der Industriellen Betriebe (DIB)
313,20.11.2019,2019/501,Natalie Eberle,AL,Katharina Prelicz-Huber,Grüne,Sozialdepartement (SD)
314,20.12.2002,2002/567,Susann Birrer,FDP,Claudia Nielsen,SP,Tiefbau- und Entsorgungsdepartement (TED)
315,2.6.2004,2004/287,Markus Schwyn,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
316,08.01.20,2007/344,Gregor Bucher,Grüne,Ernst Danner,EVP,Präsidialdepartement (PRD)
317,06.12.2017,2017/436,Pascal Lamprecht,SP,Markus Baumann,GLP,Sicherheitsdepartement (SID)
318,19.12.2018,2018/504,Walter Angst,AL,Jean-Daniel Strub,SP,Schul- und Sportdepartement (SSD)
319,4.6.2008,2008/262,Erika Bärtschi Hafner,FDP,Joe A. Manser,SP,Tiefbau- und Entsorgungsdepartement (TED)
320,7.12.2005,2005/533,Gerold Lauber,CVP,Heinz F. Steger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
321,12.6.1996,1996/210,Peter Stähli-Barth,SP,Christoph Hug,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
322,19.08.2015,2015/269,Markus Kunz,Grüne,Hans Urs von Matt,SP,Gesundheits- und Umweltdepartement (GUD)
324,02.03.2016,2016/61,Rebekka Wyler,SP,Ezgi Akyol,AL,Präsidialdepartement (PRD)
