,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
446,10.5.2006,2006/169,Peider Filli,Grüne,Niklaus Scherr,AL,Finanzdepartement (FD)
447,28.1.1998,1998/38,Luzi Rüegg,SVP,Köbi Möri,Parteilos,Hochbaudepartement (HBD)
448,2.6.2004,2004/285,Markus Schwyn,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
449,20.04.2016,2016/141,Markus Hungerbühler,CVP,Urs Fehr,SVP,Polizeidepartement (PD)
450,11.1.1995,1993/155,Peter Stähli-Barth,SP,Paul Kleger,FDP,Hochbaudepartement (HBD)
451,6.2.2008,2008/88,Mirella Wepf,SP,Ernst Danner,EVP,Hochbaudepartement (HBD)
452,10.1.2001,2001/6,Joe A. Manser,SP,Guido Wick,FDP,Polizeidepartement (PD)
453,04.11.2009,2009/503,Theo Hauri,SVP,Heinz F. Steger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
454,31.08.2011,2011/317,Monika Erfigen,SVP,Marianne Aubert,SP,"Hochbaudepartement (HBD), Schul- und Sportdepartement (SSD)"
455,6.6.2001,2001/317,Luzi Rüegg,SVP,Markus Schwyn,PFZ,Departement der Industriellen Betriebe (DIB)
456,05.06.2019,2019/249,Balz Bürgisser,Grüne,Roger Bartholdi,SVP,Hochbaudepartement (HBD)
457,6.6.2001,2001/313,Luzi Rüegg,SVP,Markus Schwyn,PFZ,Tiefbau- und Entsorgungsdepartement (TED)
458,17.5.2006,2006/192,Alecs Recher,AL,Josef Widler,CVP,Sozialdepartement (SD)
459,17.5.2006,2006/186,Bruno Amacker,SVP,Christian Traber,CVP,Polizeidepartement (PD)
460,07.12.2011,2011/475,Hans Jörg Käppeli,SP,Guido Trevisan,GLP,Departement der Industriellen Betriebe (DIB)
461,04.10.2017,2017/356,Mathias Egloff,SP,Ronny Siev,GLP,Departement der Industriellen Betriebe (DIB)
462,18.12.2002,2002/561,Robert Schönbächler,CVP,Claudia Nielsen,SP,Tiefbau- und Entsorgungsdepartement (TED)
463,27.09.2017,2017/342,Pascal Lamprecht,SP,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
464,4.6.2008,2008/258,Myrtha Meuli,SP,Ernst Danner,EVP,Sozialdepartement (SD)
465,27.9.2000,2000/464,Christian Mettler,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
466,11.4.2007,2007/183,Rebekka Wyler,SP,Pascal Pauli,Grüne,Sozialdepartement (SD)
467,08.07.2015,2015/247,Pascal Lamprecht,SP,Markus Baumann,GLP,Tiefbau- und Entsorgungsdepartement (TED)
468,28.6.2000,2000/302,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
469,10.11.2010,2010/464,Mario Mariani,CVP,Heinz F. Steger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
470,11.6.2008,2008/270,Thomas Marthaler,SP,Christian Traber,CVP,Schul- und Sportdepartement (SSD)
471,23.03.2011,2011/91,Marcel Schönbächler,CVP,Alecs Recher,AL,Hochbaudepartement (HBD)
473,28.3.2007,2007/168,Ernst Danner,EVP,Daniel Meier,CVP,Sozialdepartement (SD)
474,02.09.2015,2015/290,Markus Knauss,Grüne,Marco Denoth,SP,Finanzdepartement (FD)
475,27.9.2006,2006/421,Robert Schönbächler,CVP,Pierino Cerliani,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
476,8.11.2000,2000/538,Markus Schwyn,PFZ,Christian Mettler,SVP,Hochbaudepartement (HBD)
477,22.08.2018,2018/304,Raphaël Tschanz,FDP,Stefan Urech,SVP,Zuteilung ausstehend
478,22.10.2008,2008/476,Marco V. Camin,FDP,Ueli Nagel,Grüne,Gesundheits- und Umweltdepartement (GUD)
479,1.10.2008,2008/462,Peter Stähli-Barth,SP,Bruno Sidler,SVP,Tiefbau- und Entsorgungsdepartement (TED)
480,7.6.2006,2006/227,Roger Liebi,SVP,Albert Leiser,FDP,Finanzdepartement (FD)
481,17.1.2007,2007/22,Markus Knauss,Grüne,Myriam Barzotto,SP,Präsidialdepartement (PRD)
482,24.9.2003,2003/362,Susi Gut,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
483,30.6.1999,1999/293,Reto Dettli,SP,Balthasar Glättli,Grüne,Polizeidepartement (PD)
484,30.10.2019,2019/473,Olivia Romanelli,AL,Ernst Danner,EVP,Präsidialdepartement (PRD)
485,01.07.2009,2009/301,Heinz F. Steger,FDP,Josef Widler,CVP,
486,14.03.2018,2018/112,Jean-Daniel Strub,SP,Andreas Kirstein,AL,Stadtschreiber/in (STS)
487,06.07.2011,2011/267,Severin Pflüger,FDP,Kurt Hüssy,SVP,Hochbaudepartement (HBD)
488,30.10.2019,2019/467,Balz Bürgisser,Grüne,Roger Bartholdi,SVP,Schul- und Sportdepartement (SSD)
489,08.02.2017,2017/27,Pawel Silberring,SP,Guy Krayenbühl,GLP,Sicherheitsdepartement (SID)
490,29.01.20,2003/52,Markus Schwyn,PFZ,Christopher Vohdin,SVP,Hochbaudepartement (HBD)
491,25.9.2002,2002/367,Bruno Garzotto,SVP,Hans Bachmann,FDP,Sozialdepartement (SD)
492,2.10.2002,2002/401,Daniel Leupi,Grüne,Christian Traber,CVP,Polizeidepartement (PD)
493,9.5.2007,2007/237,Daniel Leupi,Grüne,Doris Weber,FDP,Tiefbau- und Entsorgungsdepartement (TED)
494,20.11.2019,2019/499,Balz Bürgisser,Grüne,Maya Kägi Götz,SP,Zuteilung ausstehend
495,06.07.2011,2011/266,Severin Pflüger,FDP,Kurt Hüssy,SVP,Hochbaudepartement (HBD)
496,22.10.1997,1997/428,Luzia Vieli-Hardegger,LdU,Simone Bertogg-Baudet,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
497,3.3.2004,2004/99,Roger Bartholdi,SVP,Susi Gut,PFZ,Tiefbau- und Entsorgungsdepartement (TED)
499,7.6.2006,2006/226,Mischa Morgenbesser,FDP,Daniel Leupi,Grüne,Gesundheits- und Umweltdepartement (GUD)
500,6.12.2006,2006/568,Bastien Girod,Grüne,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
501,28.11.2018,2018/463,Pablo Bünger,FDP,Helen Glaser,SP,Departement der Industriellen Betriebe (DIB)
502,06.03.2013,2013/81,Irene Bernhard,GLP,Ursula Uttinger,FDP,Sozialdepartement (SD)
503,02.04.2014,2014/109,Bernhard Piller,Grüne,Andrea Leitner Verhoeven,AL,Präsidialdepartement (PRD)
504,09.11.2016,2016/391,Simone Brander,SP,Christina Schiller,AL,Departement der Industriellen Betriebe (DIB)
505,7.3.2001,2001/104,Emil Seliner,SP,Placidus Maissen,CVP,Hochbaudepartement (HBD)
506,12.11.2008,2008/517,Ernst Danner,EVP,Ruth Ackermann,CVP,Hochbaudepartement (HBD)
507,27.9.2000,2000/465,Christian Mettler,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
509,4.6.2008,2008/259,Josef Widler,CVP,Heinz Jacobi,SP,Sozialdepartement (SD)
510,18.12.2002,2002/560,Renate Schoch,AL,Min Li Marti,SP,Hochbaudepartement (HBD)
511,23.05.2012,2012/212,Isabel Garcia,GLP,Claudia Simon,FDP,Sozialdepartement (SD)
512,20.04.2016,2016/144,Jonas Steiner,SP,Cordula Bieri,Grüne,Sozialdepartement (SD)
513,21.1.1998,1998/29,Max Müller,SVP,Armin W. Zenger,LdU,Tiefbau- und Entsorgungsdepartement (TED)
514,7.7.1999,1999/319,Rolf Kuhn,SP,Kurt Tschopp,CVP,Tiefbau- und Entsorgungsdepartement (TED)
515,6.6.2001,2001/306,Markus Schwyn,PFZ,Monika Erfigen,SVP,Finanzdepartement (FD)
516,05.06.2019,2019/248,Sebastian Vogel,FDP,Guido Hüni,GLP,Tiefbau- und Entsorgungsdepartement (TED)
517,27.2.2008,2008/99,Ernst Danner,EVP,Urs Rechsteiner,CVP,Präsidialdepartement (PRD)
518,4.3.2009,2000/129,Robert Schönbächler,CVP,Heinz Bögle,SP,"Hochbaudepartement (HBD), Schul- und Sportdepartement (SSD)"
519,16.05.2012,2010/129,Walter Angst,AL,Karin Rykart Sutter,Grüne,Finanzdepartement (FD)
520,04.11.2009,2009/504,Heinz F. Steger,FDP,Theo Hauri,SVP,Tiefbau- und Entsorgungsdepartement (TED)
521,4.7.2007,2007/382,Daniela Schicker,AL,Peider Filli,Grüne,Schul- und Sportdepartement (SSD)
522,14.1.1998,1998/17,Ruth Zollinger,FraP,Marie-Therese Meier,SP,Schul- und Sportdepartement (SSD)
523,17.03.2010,2007/355,Claudia Rabelbauer,EVP,Mario Mariani,CVP,Departement der Industriellen Betriebe (DIB)
524,12.11.2008,2008/515,Hanspeter Kunz,EVP,Mario Mariani,CVP,Polizeidepartement (PD)
525,08.01.20,2006/387,Niklaus Scherr,AL,Albert Leiser,FDP,Tiefbau- und Entsorgungsdepartement (TED)
526,8.1.2003,2003/3,Christopher Vohdin,SVP,Markus Schwyn,PFZ,Hochbaudepartement (HBD)
527,08.07.2015,2015/250,Urs Egger,FDP,Samuel Dubno,GLP,Polizeidepartement (PD)
528,21.11.2012,2006/393,Daniel Leupi,Grüne,André Odermatt,SP,Tiefbau- und Entsorgungsdepartement (TED)
529,02.03.2016,2016/64,Marcel Bührig,Grüne,Sven Sobernheim,GLP,Präsidialdepartement (PRD)
530,25.06.2008,2008/298,Monika Bloch Süss,CSP,Gabriele Kisker,Grüne,Departement der Industriellen Betriebe (DIB)
531,26.1.2005,2005/24,Markus Schwyn,PFZ,Martin Burger,SVP,Finanzdepartement (FD)
532,05.10.2016,2016/344,Simone Brander,SP,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
533,07.02.2018,2018/61,Jean-Daniel Strub,SP,Marcel Bührig,Grüne,Präsidialdepartement (PRD)
534,30.11.2016,2016/422,Stephan Iten,SVP,Christian Huser,FDP,Sozialdepartement (SD)
535,13.7.2005,2005/293,Muriel Herzig,Grüne,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
536,24.8.2005,2005/318,Susi Gut,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
537,03.04.2019,2019/128,Hans Jörg Käppeli,SP,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED)
538,23.06.2010,2010/275,Thomas Wyss,Grüne,Hanspeter Kunz,EVP,Finanzdepartement (FD)
539,1.10.2008,2008/461,Walter Angst,AL,Christine Stokar Gasser,SP,Finanzdepartement (FD)
540,08.01.20,2006/595,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
541,5.12.2004,2004/651,Walter Angst,AL,Balthasar Glättli,Grüne,Polizeidepartement (PD)
542,12.1.2005,2005/5,Robert Schönbächler,CVP,Ernst Danner,EVP,Hochbaudepartement (HBD)
543,21.1.2009,2009/30,Peter Stähli-Barth,SP,Bruno Sidler,SVP,Tiefbau- und Entsorgungsdepartement (TED)
544,7.6.2006,2006/218,Ueli Nagel,Grüne,Claudia Nielsen,SP,Präsidialdepartement (PRD)
545,26.1.2000,2000/28,Markus Bischoff,AL,Markus Knauss,Grüne,Schul- und Sportdepartement (SSD)
546,11.04.2012,2012/166,Guido Trevisan,GLP,Ursula Uttinger,FDP,Polizeidepartement (PD)
547,08.01.20,2006/556,Ueli Nagel,Grüne,Claudia Nielsen,SP,Präsidialdepartement (PRD)
548,29.01.20,2003/188,Kurt Krebs,SL,Arthur Bernet,SVP,Gesundheits- und Umweltdepartement (GUD)
549,30.10.2019,2019/464,Pascal Lamprecht,SP,Markus Baumann,GLP,Hochbaudepartement (HBD)
550,16.6.2004,2004/321,Gregor Bucher,Grüne,Walter Angst,AL,Schul- und Sportdepartement (SSD)
551,06.07.2011,2011/264,Matthias Probst,Grüne,Marcel Schönbächler,CVP,Polizeidepartement (PD)
552,06.07.2011,2011/270,Maleica Landolt,GLP,Markus Hungerbühler,CVP,Präsidialdepartement (PRD)
553,3.10.2001,2001/502,Kurt Haueter,SVP,Markus Schwyn,PFZ,Stadtschreiber/in (STS)
555,23.10.2002,2002/416,Salvatore Di Concilio,SP,Balthasar Glättli,Grüne,Polizeidepartement (PD)
556,2.10.2002,2002/402,Willy Furter,EVP,Robert Schönbächler,CVP,Polizeidepartement (PD)
557,01.02.2017,2017/24,Ursula Uttinger,FDP,Karin Weyermann,CVP,Hochbaudepartement (HBD)
558,9.5.2007,2007/234,Bernhard Piller,Grüne,Corine Mauch,SP,Gesundheits- und Umweltdepartement (GUD)
559,07.01.2009,2009/9,Mario Mariani,CVP,Martin Mächler,EVP,Tiefbau- und Entsorgungsdepartement (TED)
560,06.01.2010,2010/10,Monika Bloch Süss,CSP,Karin Meier-Bohrer,Grüne,Sozialdepartement (SD)
562,06.07.2011,2011/271,Gabriele Kisker,Grüne,Jacqueline Badran,SP,Finanzdepartement (FD)
563,30.10.2019,2019/465,Përparim Avdili,FDP,Pascal Lamprecht,SP,Sicherheitsdepartement (SID)
564,04.04.2018,2018/138,Guido Hüni,GLP,Markus Kunz,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
565,22.11.2006,2006/543,Judith Bucher,SP,Doris Weber,FDP,Schul- und Sportdepartement (SSD)
566,15.06.2016,2016/225,Barbara Wiesmann,SP,Guy Krayenbühl,GLP,Tiefbau- und Entsorgungsdepartement (TED)
567,30.09.2009,2006/219,Richard Rabelbauer,EVP,Christian Traber,CVP,Schul- und Sportdepartement (SSD)
568,12.03.2014,2014/74,Samuel Dubno,GLP,Walter Angst,AL,Tiefbau- und Entsorgungsdepartement (TED)
569,05.03.2014,2014/60,Simone Brander,SP,Guido Trevisan,GLP,Polizeidepartement (PD)
570,21.1.2009,2009/31,Bruno Sidler,SVP,Peter Stähli-Barth,SP,Tiefbau- und Entsorgungsdepartement (TED)
571,06.03.2013,2013/69,Simone Brander,SP,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
572,16.4.1997,1997/167,Marie-Therese Meier,SP,Ruth Zollinger,FraP,Schul- und Sportdepartement (SSD)
573,24.5.2000,2000/248,Markus Schwyn,PFZ,Christian Mettler,SVP,Sozialdepartement (SD)
574,03.04.2019,2019/129,Markus Knauss,Grüne,Ann-Catherine Nabholz,GLP,Tiefbau- und Entsorgungsdepartement (TED)
575,23.09.2015,2015/319,Katharina Prelicz-Huber,Grüne,Michael Kraft,SP,Sozialdepartement (SD)
576,13.7.2005,2005/292,Mario Mariani,CVP,Hanspeter Kunz,EVP,Hochbaudepartement (HBD)
577,29.05.2013,2013/200,Samuel Dubno,GLP,Walter Angst,AL,Polizeidepartement (PD)
578,26.1.2005,2005/25,Michael Baumer,FDP,Bruno Garzotto,SVP,Schul- und Sportdepartement (SSD)
579,17.05.2017,2017/142,Anjushka Früh,SP,Katharina Prelicz-Huber,Grüne,Sozialdepartement (SD)
580,02.11.2016,2016/379,Dorothea Frei,SP,Heinz Schatt,SVP,Sicherheitsdepartement (SID)
581,01.12.2010,2010/499,Matthias Probst,Grüne,Martin Luchsinger,GLP,Tiefbau- und Entsorgungsdepartement (TED)
582,16.1.2002,2002/10,Mauro Tuena,SVP,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
583,08.07.2015,2015/245,Ann-Catherine Nabholz,GLP,Heinz F. Steger,FDP,Departement der Industriellen Betriebe (DIB)
584,14.07.2010,2010/314,Andrew Katumba,SP,Gabriele Kisker,Grüne,Polizeidepartement (PD)
585,22.6.2005,2005/251,Martin Burger,SVP,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
586,06.04.2011,2011/113,Marc Bourgeois,FDP,Kurt Hüssy,SVP,Tiefbau- und Entsorgungsdepartement (TED)
587,7.2.2001,2001/55,Balthasar Glättli,Grüne,Niklaus Scherr,AL,Polizeidepartement (PD)
588,2.6.2004,2004/283,Susi Gut,PFZ,Hansruedi Bär,SVP,Präsidialdepartement (PRD)
589,13.6.2007,2007/354,Richard Rabelbauer,EVP,Alexander Jäger,FDP,Polizeidepartement (PD)
590,28.01.2015,2015/34,Markus Knauss,Grüne,Hans Jörg Käppeli,SP,Tiefbau- und Entsorgungsdepartement (TED)
591,29.01.20,2002/563,Markus Schwyn,PFZ,Martin Burger,SVP,Polizeidepartement (PD)
595,27.11.2019,2019/511,Balz Bürgisser,Grüne,Patrik Maillard,AL,Schul- und Sportdepartement (SSD)
596,19.06.2019,2019/277,Balz Bürgisser,Grüne,Sebastian Vogel,FDP,Hochbaudepartement (HBD)
597,30.01.2008,2008/83,Martin Abele,Grüne,Monika Bloch Süss,CSP,Tiefbau- und Entsorgungsdepartement (TED)
598,27.11.2019,2019/520,Ezgi Akyol,AL,Luca Maggi,Grüne,Sozialdepartement (SD)
599,27.11.2019,2019/508,Marion Schmid,SP,Maria del Carmen Señorán,SVP,Sozialdepartement (SD)
601,26.06.2019,2019/291,Sebastian Vogel,FDP,Balz Bürgisser,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
602,6.5.1998,1998/138,Monjek Rosenheim,FDP,Markus Schwyn,PFZ,Finanzdepartement (FD)
603,24.06.2009,2009/285,Monika Bloch Süss,CSP,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
605,08.01.20,1998/33,Johanna Tremp,SP,Kathy Riklin,CVP,Hochbaudepartement (HBD)
606,13.3.2001,2001/122,Markus Schwyn,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
607,12.12.2001,2001/644,Monika Erfigen,SVP,Markus Schwyn,PFZ,Präsidialdepartement (PRD)
609,19.12.2018,2018/519,Marianne Aubert,SP,Mischa Schiwow,AL,Sozialdepartement (SD)
610,14.07.2010,2010/319,Hans Jörg Käppeli,SP,Roger Tognella,FDP,Tiefbau- und Entsorgungsdepartement (TED)
613,28.03.2007,2007/167,Pascal Pauli,Grüne,Martin Sarbach,SP,Polizeidepartement (PD)
614,23.11.2016,2016/406,Linda Bär,SP,Ann-Catherine Nabholz,GLP,Präsidialdepartement (PRD)
615,30.8.2006,2006/348,Andrew Katumba,SP,Gabriele Kisker,Grüne,Polizeidepartement (PD)
616,02.04.2014,2014/113,Matthias Probst,Grüne,Andreas Edelmann,SP,Hochbaudepartement (HBD)
617,21.11.2018,2018/451,Pirmin Meyer,GLP,Zilla Roose,SP,Finanzdepartement (FD)
618,03.04.2019,2019/130,Matthias Probst,Grüne,Michael Kraft,SP,Departement der Industriellen Betriebe (DIB)
619,8.11.2000,2000/537,Peter Mächler,SVP,Markus Schwyn,PFZ,Sozialdepartement (SD)
620,5.12.2004,2005/9,Walter Angst,AL,Balthasar Glättli,Grüne,Polizeidepartement (PD)
622,06.03.2013,2013/70,Hans Jörg Käppeli,SP,Marcel Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
623,21.1.2009,2009/28,Peter Stähli-Barth,SP,Bruno Sidler,SVP,Tiefbau- und Entsorgungsdepartement (TED)
625,05.02.2014,2014/45,Jean-Daniel Strub,SP,Martin Luchsinger,GLP,Tiefbau- und Entsorgungsdepartement (TED)
626,15.06.2016,2016/228,Walter Angst,AL,Markus Merki,GLP,Schul- und Sportdepartement (SSD)
627,04.04.2018,2018/135,Markus Kunz,Grüne,Helen Glaser,SP,Tiefbau- und Entsorgungsdepartement (TED)
628,23.10.2019,2019/440,Katharina Prelicz-Huber,Grüne,Vera Ziswiler,SP,Sozialdepartement (SD)
629,12.3.2008,2008/121,Ruth Ackermann,CVP,Ernst Danner,EVP,Departement der Industriellen Betriebe (DIB)
631,29.01.20,2004/311,Marianne Dubs Früh,SP,Kurt Maeder,CVP,Schul- und Sportdepartement (SSD)
632,22.05.2013,2013/184,Gabriele Kisker,Grüne,Eva-Maria Würth,SP,Tiefbau- und Entsorgungsdepartement (TED)
633,31.10.2012,2012/397,Jean-Daniel Strub,SP,Samuel Dubno,GLP,Präsidialdepartement (PRD)
634,5.3.2003,2003/75,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
635,21.12.2011,2010/35,Claudia Nielsen,SP,Bernhard Piller,Grüne,Departement der Industriellen Betriebe (DIB)
636,9.5.2007,2007/238,Martin Sarbach,SP,Katrin Schönenberger-Meier,EVP,Tiefbau- und Entsorgungsdepartement (TED)
637,5.3.2003,2003/74,Roger Liebi,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
638,29.01.20,2001/296,Erika Bärtschi Hafner,FDP,Joe A. Manser,SP,Sozialdepartement (SD)
639,26.2.2003,2003/60,Werner Sieg,SP,Claudia Rütsche,CVP,Präsidialdepartement (PRD)
640,25.9.2002,2002/355,Robert Schönbächler,CVP,Ernst Danner,EVP,Sozialdepartement (SD)
641,28.06.2017,2017/210,Walter Angst,AL,Isabel Garcia,GLP,Schul- und Sportdepartement (SSD)
642,30.10.2019,2019/469,Markus Knauss,Grüne,Hans Jörg Käppeli,SP,Departement der Industriellen Betriebe (DIB)
644,22.05.2013,2013/185,Renate Fischer,SP,Martin Bürki,FDP,Departement der Industriellen Betriebe (DIB)
645,12.03.2008,2008/120,Mario Mariani,CVP,Albert Leiser,FDP,Hochbaudepartement (HBD)
646,4.6.2003,2003/185,Susi Gut,PFZ,Raphaela-Franziska Ulcay-Hauser,SVP,Polizeidepartement (PD)
647,23.10.2019,2019/441,Mathias Egloff,SP,Guido Hüni,GLP,Tiefbau- und Entsorgungsdepartement (TED)
648,27.11.2013,2013/422,Alecs Recher,AL,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
649,21.1.2009,2009/29,Bruno Sidler,SVP,Peter Stähli-Barth,SP,Tiefbau- und Entsorgungsdepartement (TED)
650,02.10.2013,2013/350,Markus Kunz,Grüne,Peter Küng,SP,Schul- und Sportdepartement (SSD)
651,02.04.2014,2014/106,Christina Hug,Grüne,Jean-Daniel Strub,SP,Hochbaudepartement (HBD)
652,21.11.2018,2018/450,Ezgi Akyol,AL,Nadia Huberson,SP,Sozialdepartement (SD)
653,30.08.2006,2006/349,Yvonne Müller,SP,Astrid Hirzel,CVP,Hochbaudepartement (HBD)
654,10.3.1999,1999/100,Romeo Steiner,CVP,Armin Schilter,SVP,Finanzdepartement (FD)
655,12.11.2008,2008/518,Kurt Hüssy,SVP,Roger Tognella,FDP,Sozialdepartement (SD)
656,08.07.2015,2015/249,Marianne Aubert,SP,Thomas Kleger,FDP,Polizeidepartement (PD)
657,14.07.2010,2010/318,Roger Tognella,FDP,Hans Jörg Käppeli,SP,Tiefbau- und Entsorgungsdepartement (TED)
658,21.1.1998,1998/32,Markus Bischoff,AL,Ruth Zollinger,FraP,Polizeidepartement (PD)
659,25.10.2017,2017/370,Barbara Wiesmann,SP,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
660,10.5.2006,2006/163,Peider Filli,Grüne,Alecs Recher,AL,Präsidialdepartement (PRD)
661,6.6.2001,2001/309,Markus Schwyn,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
662,01.06.2016,2016/188,Simone Brander,SP,Simon Kälin-Werth,Grüne,Polizeidepartement (PD)
663,22.3.2006,2006/93,Beatrice Reimann,SP,Robert Schönbächler,CVP,Hochbaudepartement (HBD)
664,22.9.2004,2004/516,Susi Gut,PFZ,Marina Garzotto,SVP,Präsidialdepartement (PRD)
665,22.3.2000,2000/132,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
666,05.06.2019,2019/245,Luca Maggi,Grüne,Simon Diggelmann,SP,Tiefbau- und Entsorgungsdepartement (TED)
668,27.08.2014,2014/266,Matthias Probst,Grüne,Corinne Schäfli,AL,Tiefbau- und Entsorgungsdepartement (TED)
669,03.03.2010,2010/124,Walter Angst,AL,Rebekka Wyler,SP,Sozialdepartement (SD)
670,19.06.2019,2019/279,Markus Merki,GLP,Ernst Danner,EVP,Hochbaudepartement (HBD)
671,15.11.2017,2017/399,Elisabeth Schoch,FDP,Stefan Urech,SVP,Sicherheitsdepartement (SID)
673,1.2.2006,2006/46,Roger Tognella,FDP,Bruno Wohler,SVP,Tiefbau- und Entsorgungsdepartement (TED)
674,25.01.2012,2012/33,Cäcilia Hänni-Etter,FDP,Markus Hungerbühler,CVP,Polizeidepartement (PD)
675,29.9.1999,1999/472,Markus Schwyn,PFZ,Christian Mettler,SVP,Sozialdepartement (SD)
676,13.04.2011,2011/121,Severin Pflüger,FDP,Kurt Hüssy,SVP,Hochbaudepartement (HBD)
677,14.07.2010,2010/326,Katrin Wüthrich,SP,Karin Rykart Sutter,Grüne,Polizeidepartement (PD)
678,7.3.2001,2001/109,Mauro Tuena,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
679,23.03.2011,2011/89,Michael Baumer,FDP,Markus Knauss,Grüne,Schul- und Sportdepartement (SSD)
680,06.01.2010,2010/6,Robert Schönbächler,CVP,Ernst Danner,EVP,Tiefbau- und Entsorgungsdepartement (TED)
681,11.06.2008,2008/268,Bernhard Piller,Grüne,Ernst Danner,EVP,Gesundheits- und Umweltdepartement (GUD)
682,18.6.2008,2008/283,Walter Angst,AL,Corine Mauch,SP,Finanzdepartement (FD)
684,30.1.2002,2002/36,Hans Marolf,SVP,Marcel Knörr,FDP,Sozialdepartement (SD)
685,23.09.2015,2015/317,Marcel Bührig,Grüne,Linda Bär,SP,Polizeidepartement (PD)
686,3.3.2004,2004/104,Ueli Nagel,Grüne,Willy Furter,EVP,Hochbaudepartement (HBD)
687,24.8.2005,2005/317,Susi Gut,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
688,02.04.2014,2014/110,Bernhard Piller,Grüne,Andrea Leitner Verhoeven,AL,Präsidialdepartement (PRD)
689,25.10.2000,2000/508,Köbi Möri,Parteilos,Mauro Tuena,SVP,Sozialdepartement (SD)
690,08.01.20,1997/155,Hansueli Züllig,SVP,Robert Schönbächler,CVP,Schul- und Sportdepartement (SSD)
691,14.1.2009,2009/17,Ueli Nagel,Grüne,Uschi Heinrich,SP,Gesundheits- und Umweltdepartement (GUD)
692,23.10.2019,2019/443,Përparim Avdili,FDP,Stefan Urech,SVP,Departement der Industriellen Betriebe (DIB)
694,4.6.2003,2003/187,Kurt Krebs,SL,Arthur Bernet,SVP,Gesundheits- und Umweltdepartement (GUD)
695,04.04.2018,2018/136,Markus Kunz,Grüne,Helen Glaser,SP,Tiefbau- und Entsorgungsdepartement (TED)
696,08.01.20,2003/89,Christopher Vohdin,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
697,10.01.2007,2007/8,Pierino Cerliani,Grüne,Michael Baumer,FDP,Hochbaudepartement (HBD)
698,5.3.2003,2003/76,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
699,28.06.2017,2017/212,Pawel Silberring,SP,Elena Marti,Grüne,Sicherheitsdepartement (SID)
700,23.6.1999,1999/274,Robert Schönbächler,CVP,Markus Bischoff,AL,Departement der Industriellen Betriebe (DIB)
701,21.12.2011,2010/36,Bernhard Piller,Grüne,Davy Graf,SP,Departement der Industriellen Betriebe (DIB)
702,6.10.1999,1999/506,Christoph Hug,Grüne,Markus Bischoff,AL,Finanzdepartement (FD)
703,25.01.2017,2017/16,Michel Urben,SP,Karin Meier-Bohrer,Grüne,Sicherheitsdepartement (SID)
704,18.04.2007,2007/213,Alecs Recher,AL,Martin Abele,Grüne,Polizeidepartement (PD)
705,25.2.2004,2004/81,Susi Gut,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
706,4.6.2003,2003/186,Susi Gut,PFZ,Raphaela-Franziska Ulcay-Hauser,SVP,Schul- und Sportdepartement (SSD)
707,23.3.2005,2005/114,Susi Gut,PFZ,Mauro Tuena,SVP,Stadtschreiber/in (STS)
708,04.04.2018,2018/137,Markus Kunz,Grüne,Guido Hüni,GLP,Tiefbau- und Entsorgungsdepartement (TED)
