Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
2009-03-11,2009/93,Susi Gut,PFZ,Ernst Danner,EVP,Sozialdepartement (SD)
2016-08-31,2016/293,Eduard Guggenheim,AL,Andreas Edelmann,SP,Präsidialdepartement (PRD)
2006-07-05,2006/287,Peter Anderegg,EVP,Daniel Meier,CVP,Polizeidepartement (PD)
2006-07-05,2006/293,Robert Schönbächler,CVP,Ernst Danner,EVP,Tiefbau- und Entsorgungsdepartement (TED)
2015-10-28,2015/344,Markus Knauss,Grüne,Simone Brander,SP,Tiefbau- und Entsorgungsdepartement (TED)
2014-01-15,2014/15,Matthias Probst,Grüne,Florian Utz,SP,Polizeidepartement (PD)
2016-08-24,2016/278,Reto Vogelbacher,CVP,Elisabeth Schoch,FDP,Gesundheits- und Umweltdepartement (GUD)
2016-06-29,2016/250,Alan David Sangines,SP,Shaibal Roy,GLP,Sozialdepartement (SD)
2005-09-28,2005/387,Markus Schwyn,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
2004-04-07,2004/194,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
2013-09-04,2013/301,Gabriele Kisker,Grüne,Eva-Maria Würth,SP,Tiefbau- und Entsorgungsdepartement (TED)
2008-04-02,2008/159,Karin Rykart Sutter,Grüne,Martin Sarbach,SP,Polizeidepartement (PD)
2019-03-06,2019/82,Roger Bartholdi,SVP,Pascal Lamprecht,SP,Schul- und Sportdepartement (SSD)
2008-04-09,2008/171,Martin Sarbach,SP,Mario Mariani,CVP,Hochbaudepartement (HBD)
2011-06-08,2011/204,Guido Trevisan,GLP,Alexander Jäger,FDP,Hochbaudepartement (HBD)
2001-11-14,2001/576,Robert Schönbächler,CVP,Andres Türler,FDP,Polizeidepartement (PD)
2019-01-30,2019/55,Isabel Garcia,GLP,Përparim Avdili,FDP,Präsidialdepartement (PRD)
2017-03-29,2017/78,Katharina Prelicz-Huber,Grüne,Michael Kraft,SP,Sozialdepartement (SD)
2007-05-09,2007/255,Gabriele Kisker,Grüne,Andrew Katumba,SP,Schul- und Sportdepartement (SSD)
2003-03-26,2003/117,Emil Seliner,SP,Robert Schönbächler,CVP,Finanzdepartement (FD)
2017-03-08,2017/44,Eduard Guggenheim,AL,Andreas Edelmann,SP,Präsidialdepartement (PRD)
2005-05-18,2005/191,Beatrice Reimann,SP,Ernst Danner,EVP,Departement der Industriellen Betriebe (DIB)
2015-06-10,2015/184,Matthias Probst,Grüne,Guido Trevisan,GLP,Polizeidepartement (PD)
2007-05-09,2007/240,Andrew Katumba,SP,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2013-03-20,2013/102,Ann-Catherine Nabholz,GLP,Karin Weyermann,CVP,Departement der Industriellen Betriebe (DIB)
2010-03-17,2003/116,Emil Seliner,SP,Robert Schönbächler,CVP,Finanzdepartement (FD)
2017-08-23,2017/268,Sven Sobernheim,GLP,Pascal Lamprecht,SP,Sicherheitsdepartement (SID)
1999-06-02,1999/226,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
2017-03-29,2017/79,Mathias Manz,SP,Katharina Prelicz-Huber,Grüne,Sozialdepartement (SD)
2019-10-23,2019/439,Marcel Savarioud,SP,Felix Moser,Grüne,Hochbaudepartement (HBD)
2011-06-29,2011/239,Markus Knauss,Grüne,Simone Brander,SP,Präsidialdepartement (PRD)
2004-04-07,2004/195,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
2009-02-04,2009/45,Ueli Nagel,Grüne,Claudia Simon,FDP,Schul- und Sportdepartement (SSD)
2018-10-24,2018/399,Eduard Guggenheim,AL,Stefan Urech,SVP,Hochbaudepartement (HBD)
2003-12-17,2003/499,Thomas Marthaler,SP,Christian Traber,CVP,Schul- und Sportdepartement (SSD)
2016-09-28,2016/331,Elisabeth Schoch,FDP,Rolf Müller,SVP,Gesundheits- und Umweltdepartement (GUD)
2007-12-05,2007/644,Monika Bloch Süss,CSP,Gabriele Kisker,Grüne,Polizeidepartement (PD)
2002-02-06,2002/58,Heinz Jacobi,SP,Katharina Prelicz-Huber,Grüne,Finanzdepartement (FD)
2005-02-09,2005/51,Marianne Dubs Früh,SP,Kurt Maeder,CVP,Polizeidepartement (PD)
1998-10-28,1998/343,Beat Badertscher,FDP,Peter Stähli-Barth,SP,Tiefbau- und Entsorgungsdepartement (TED)
2005-03-02,2005/79,Walter Angst,AL,Balthasar Glättli,Grüne,Sozialdepartement (SD)
2016-09-21,2016/319,Marcel Bührig,Grüne,Sven Sobernheim,GLP,Sicherheitsdepartement (SID)
2005-06-08,2005/225,Marianne Dubs Früh,SP,Kurt Maeder,CVP,Polizeidepartement (PD)
2010-09-29,2010/412,Bernhard Piller,Grüne,Mirella Wepf,SP,Departement der Industriellen Betriebe (DIB)
2001-03-21,2001/173,Köbi Möri,Parteilos,Bruno Sidler,SVP,Departement der Industriellen Betriebe (DIB)
2005-06-01,2005/219,Franziska Graf,SP,Ueli Nagel,Grüne,Schul- und Sportdepartement (SSD)
2008-12-03,2008/548,Peider Filli,Grüne,Ilde Cheridito,SP,Hochbaudepartement (HBD)
2015-06-24,2015/219,Katharina Prelicz-Huber,Grüne,Ursula Näf,SP,Schul- und Sportdepartement (SSD)
2007-08-29,2007/452,Beatrice Reimann,SP,Daniel Leupi,Grüne,Polizeidepartement (PD)
1999-07-14,1999/346,Niklaus Scherr,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2017-09-06,2017/308,Stefan Urech,SVP,Reto Vogelbacher,CVP,Schul- und Sportdepartement (SSD)
2000-04-05,2000/176,Marcel Knörr,FDP,Hermann Aebi,Parteilos,Tiefbau- und Entsorgungsdepartement (TED)
2000-12-13,2000/604,Markus Schwyn,PFZ,Christopher Vohdin,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2004-05-05,2004/220,Susi Gut,PFZ,Monika Erfigen,SVP,Finanzdepartement (FD)
2002-08-28,2002/298,Georg Schmid,CVP,Willy Furter,EVP,Polizeidepartement (PD)
2009-05-27,2009/229,Christina Hug,Grüne,Min Li Marti,SP,Präsidialdepartement (PRD)
2015-04-08,2015/95,Walter Angst,AL,Rebekka Wyler,SP,Finanzdepartement (FD)
2004-05-05,2004/222,Monika Erfigen,SVP,Markus Schwyn,PFZ,Gesundheits- und Umweltdepartement (GUD)
2009-12-11,2009/598,Christian Traber,CVP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2007-08-29,2007/450,Gabriele Kisker,Grüne,Andrew Katumba,SP,Hochbaudepartement (HBD)
2007-06-06,2007/322,Fakir Atalay,SP,Ueli Nagel,Grüne,Gesundheits- und Umweltdepartement (GUD)
2000-09-06,2000/438,Markus Schwyn,PFZ,Christopher Vohdin,SVP,Stadtschreiber/in (STS)
2006-11-08,2006/482,Richard Rabelbauer,EVP,Daniel Meier,CVP,Finanzdepartement (FD)
2013-12-18,2008/576,Urs Rechsteiner,CVP,Martin Mächler,EVP,Finanzdepartement (FD)
1999-04-07,1999/152,Robert Schönbächler,CVP,Willy Furter,EVP,Präsidialdepartement (PRD)
2016-12-21,2016/469,Hans Jörg Käppeli,SP,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
1998-12-16,1998/433,Köbi Möri,Parteilos,Lorenz Habicher,SVP,Präsidialdepartement (PRD)
2018-01-17,2018/16,Katharina Prelicz-Huber,Grüne,Markus Baumann,GLP,Sozialdepartement (SD)
2018-09-19,2018/358,Matthias Probst,Grüne,Florian Utz,SP,Gesundheits- und Umweltdepartement (GUD)
2004-03-17,2004/140,Susi Gut,PFZ,Karin Peter,SVP,Polizeidepartement (PD)
2000-11-22,2000/564,Markus Schwyn,PFZ,Mauro Tuena,SVP,Präsidialdepartement (PRD)
2004-03-24,2004/154,Susi Gut,PFZ,Monika Erfigen,SVP,Gesundheits- und Umweltdepartement (GUD)
2015-11-11,2015/353,Markus Hungerbühler,CVP,Albert Leiser,FDP,Polizeidepartement (PD)
1998-07-08,1998/221,Rolf Kuhn,SP,Kurt Tschopp,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2015-12-02,2015/384,Ezgi Akyol,AL,Linda Bär,SP,Sozialdepartement (SD)
2003-12-03,2003/464,Bruno Amacker,SVP,Susi Gut,PFZ,Tiefbau- und Entsorgungsdepartement (TED)
2016-06-29,2016/253,Ann-Catherine Nabholz,GLP,Jean-Daniel Strub,SP,Tiefbau- und Entsorgungsdepartement (TED)
1996-12-31,1996/100,André Odermatt,SP,Niklaus Scherr,AL,Departement der Industriellen Betriebe (DIB)
2019-03-06,2019/81,Nicole Giger,SP,Andri Silberschmidt,FDP,Sicherheitsdepartement (SID)
2005-04-13,2005/151,Bernhard Piller,Grüne,Franziska Graf,SP,Departement der Industriellen Betriebe (DIB)
2005-04-13,2005/145,Susi Gut,PFZ,Bruno Wohler,SVP,Präsidialdepartement (PRD)
2017-07-12,2017/256,Andreas Egli,FDP,Stephan Iten,SVP,Finanzdepartement (FD)
2019-09-18,2017/243,Marco Denoth,SP,Sven Sobernheim,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2002-11-06,2002/474,Dorothea Frei,SP,Simone Bertogg-Baudet,Grüne,Schul- und Sportdepartement (SSD)
2017-03-15,2017/52,Roger-Paul Speck,SP,Markus Merki,GLP,Schul- und Sportdepartement (SSD)
2014-12-03,2014/394,Markus Knauss,Grüne,Patrick Hadi Huber,SP,Hochbaudepartement (HBD)
2019-02-21,2019/57,Luca Maggi,Grüne,Christina Schiller,AL,Sicherheitsdepartement (SID)
2009-09-16,2009/406,Alexander Jäger,FDP,Bernhard Piller,Grüne,Departement der Industriellen Betriebe (DIB)
2004-06-30,2004/343,Markus Schwyn,PFZ,Monika Erfigen,SVP,Sozialdepartement (SD)
2005-05-11,2005/178,Susi Gut,PFZ,Bruno Sidler,SVP,Präsidialdepartement (PRD)
2004-08-18,2004/419,Andreas Ammann,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
2019-12-31,2019/80,Markus Knauss,Grüne,Simone Brander,SP,Sicherheitsdepartement (SID)
2004-04-07,2004/196,Roger Liebi,SVP,Markus Schwyn,PFZ,Finanzdepartement (FD)
2016-06-29,2016/252,Christina Schiller,AL,Guy Krayenbühl,GLP,Departement der Industriellen Betriebe (DIB)
2012-03-14,2012/104,Peter Küng,SP,Ueli Nagel,Grüne,Departement der Industriellen Betriebe (DIB)
2013-09-11,2013/317,Peter Küng,SP,Michael Schmid,FDP,Schul- und Sportdepartement (SSD)
2012-12-31,2012/138,Bernhard Piller,Grüne,Helen Glaser,SP,Departement der Industriellen Betriebe (DIB)
2000-02-09,2000/76,Mauro Tuena,SVP,Markus Schwyn,PFZ,Departement der Industriellen Betriebe (DIB)
2004-03-24,2004/155,Susi Gut,PFZ,Monika Erfigen,SVP,Gesundheits- und Umweltdepartement (GUD)
2009-12-16,2009/604,Daniel Leupi,Grüne,Walter Angst,AL,Präsidialdepartement (PRD)
2016-08-31,2016/291,Markus Merki,GLP,Pascal Lamprecht,SP,Präsidialdepartement (PRD)
2006-07-05,2006/291,Robert Schönbächler,CVP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
1997-12-31,1997/110,Theres Renner,FraP,Susanne Erdös-Schärer,SP,Schul- und Sportdepartement (SSD)
2005-10-05,2005/408,Christine Seidler,SP,Gerold Lauber,CVP,Departement der Industriellen Betriebe (DIB)
2013-07-03,2013/263,Alexander Jäger,FDP,Kyriakos Papageorgiou,SP,Tiefbau- und Entsorgungsdepartement (TED)
2006-11-01,2006/468,Robert Schönbächler,CVP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
2016-12-21,2016/468,Hans Jörg Käppeli,SP,Markus Knauss,Grüne,Departement der Industriellen Betriebe (DIB)
2005-06-15,2005/232,Susi Gut,PFZ,Cornelia Schaub,SVP,Präsidialdepartement (PRD)
2010-09-01,2010/363,Jacqueline Badran,SP,Niklaus Scherr,AL,Finanzdepartement (FD)
2004-01-07,2004/7,Daniel Leupi,Grüne,Mark Roth,SP,Tiefbau- und Entsorgungsdepartement (TED)
2015-02-04,2015/43,Petek Altinay,SP,Christina Hug,Grüne,"Präsidialdepartement (PRD), Stadtschreiber/in (STS)"
2007-06-06,2007/323,Mario Mariani,CVP,Bruno Wohler,SVP,Sozialdepartement (SD)
1999-07-14,1999/345,Markus Bischoff,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2009-12-11,2009/599,Monika Bloch Süss,CSP,Martin Abele,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2019-05-22,2019/214,Urs Egger,FDP,Anjushka Früh,SP,Schul- und Sportdepartement (SSD)
2009-12-02,2009/566,Walter Angst,AL,Balthasar Glättli,Grüne,Präsidialdepartement (PRD)
2007-09-12,2007/492,Martin Sarbach,SP,Alecs Recher,AL,Polizeidepartement (PD)
2019-05-22,2019/228,Simone Brander,SP,Markus Knauss,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2002-08-28,2002/299,Markus Schwyn,PFZ,Rolf André Siegenthaler-Benz,SVP,Polizeidepartement (PD)
2011-12-14,2009/501,Peter Anderegg,EVP,Daniel Meier,CVP,Gesundheits- und Umweltdepartement (GUD)
2004-10-20,2004/536,Susi Gut,PFZ,Bernhard Britschgi,SVP,Departement der Industriellen Betriebe (DIB)
2019-11-20,2019/501,Natalie Eberle,AL,Katharina Prelicz-Huber,Grüne,Sozialdepartement (SD)
2002-12-20,2002/567,Susann Birrer,FDP,Claudia Nielsen,SP,Tiefbau- und Entsorgungsdepartement (TED)
2004-06-02,2004/287,Markus Schwyn,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
2007-12-31,2007/344,Gregor Bucher,Grüne,Ernst Danner,EVP,Präsidialdepartement (PRD)
2017-12-06,2017/436,Pascal Lamprecht,SP,Markus Baumann,GLP,Sicherheitsdepartement (SID)
2018-12-19,2018/504,Walter Angst,AL,Jean-Daniel Strub,SP,Schul- und Sportdepartement (SSD)
2008-06-04,2008/262,Erika Bärtschi Hafner,FDP,Joe A. Manser,SP,Tiefbau- und Entsorgungsdepartement (TED)
2005-12-07,2005/533,Gerold Lauber,CVP,Heinz F. Steger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
1996-06-12,1996/210,Peter Stähli-Barth,SP,Christoph Hug,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2015-08-19,2015/269,Markus Kunz,Grüne,Hans Urs von Matt,SP,Gesundheits- und Umweltdepartement (GUD)
2016-03-02,2016/61,Rebekka Wyler,SP,Ezgi Akyol,AL,Präsidialdepartement (PRD)
2010-12-22,2008/289,Niklaus Scherr,AL,Claudia Nielsen,SP,Departement der Industriellen Betriebe (DIB)
2018-07-11,2018/289,Corina Gredig,GLP,Marion Schmid,SP,Gesundheits- und Umweltdepartement (GUD)
2005-11-09,2005/453,Markus Knauss,Grüne,Claudia Nielsen,SP,Polizeidepartement (PD)
2014-04-16,2014/126,Pawel Silberring,SP,Christian Traber,CVP,Sozialdepartement (SD)
2010-12-01,2010/502,Fabienne Vocat,Grüne,Michael Baumer,FDP,Hochbaudepartement (HBD)
2018-11-28,2018/464,Balz Bürgisser,Grüne,Ursula Näf,SP,Schul- und Sportdepartement (SSD)
2004-12-15,2004/668,Markus Schwyn,PFZ,Roger Liebi,SVP,Finanzdepartement (FD)
2015-09-16,2015/309,Andreas Edelmann,SP,Markus Kunz,Grüne,Departement der Industriellen Betriebe (DIB)
2005-11-23,2005/490,Markus Schwyn,PFZ,Roger Liebi,SVP,Finanzdepartement (FD)
2003-11-05,2003/416,Georg Schmid,CVP,Werner Sieg,SP,Tiefbau- und Entsorgungsdepartement (TED)
2018-01-10,2018/5,Balz Bürgisser,Grüne,Jean-Daniel Strub,SP,Departement der Industriellen Betriebe (DIB)
2013-02-06,2013/45,Alan David Sangines,SP,Marcel Schönbächler,CVP,Polizeidepartement (PD)
2007-01-24,2007/30,Karin Rykart Sutter,Grüne,Astrid Hirzel,CVP,Finanzdepartement (FD)
2011-07-06,2011/261,Jacqueline Badran,SP,Balthasar Glättli,Grüne,Finanzdepartement (FD)
2015-05-06,2015/123,Simone Brander,SP,Simon Kälin-Werth,Grüne,Polizeidepartement (PD)
2015-05-20,2015/137,Min Li Marti,SP,Samuel Dubno,GLP,Polizeidepartement (PD)
2019-07-03,2019/313,Markus Merki,GLP,Heidi Egger,SP,Tiefbau- und Entsorgungsdepartement (TED)
2009-09-30,2009/449,Christian Aeschbach,FDP,Christina Hug,Grüne,Departement der Industriellen Betriebe (DIB)
1999-06-30,1999/295,Reto Dettli,SP,Balthasar Glättli,Grüne,Polizeidepartement (PD)
2004-01-28,2004/49,Markus Schwyn,PFZ,Ruth Anhorn,SVP,Schul- und Sportdepartement (SSD)
2002-10-23,2002/413,André Odermatt,SP,Niklaus Scherr,AL,Hochbaudepartement (HBD)
2003-12-31,2003/172,Robert Schönbächler,CVP,Willy Furter,EVP,Departement der Industriellen Betriebe (DIB)
2007-04-18,2007/218,Alecs Recher,AL,Martin Abele,Grüne,Polizeidepartement (PD)
2004-02-25,2004/75,Michael Baumer,FDP,Balthasar Glättli,Grüne,Präsidialdepartement (PRD)
2010-01-06,2010/14,Monika Bloch Süss,CSP,Thomas Wyss,Grüne,Sozialdepartement (SD)
2003-02-05,2003/41,Kurt Krebs,SL,Arthur Bernet,SVP,Präsidialdepartement (PRD)
1999-06-30,1999/294,Balthasar Glättli,Grüne,Reto Dettli,SP,Polizeidepartement (PD)
2014-10-22,2014/325,Nina Fehr Düsel,SVP,Karin Weyermann,CVP,Präsidialdepartement (PRD)
2019-10-30,2019/474,Michael Kraft,SP,Markus Kunz,Grüne,Departement der Industriellen Betriebe (DIB)
2015-05-06,2015/122,Rosa Maino,AL,Anjushka Früh,SP,Schul- und Sportdepartement (SSD)
2006-06-07,2006/220,Richard Rabelbauer,EVP,Bastien Girod,Grüne,Präsidialdepartement (PRD)
2013-02-27,2013/50,Ursula Uttinger,FDP,Jean-Daniel Strub,SP,Schul- und Sportdepartement (SSD)
1999-02-03,1999/53,Luzi Rüegg,SVP,Kurt Miescher,SD,Departement der Industriellen Betriebe (DIB)
2010-06-16,2010/265,Florian Utz,SP,Guido Trevisan,GLP,Departement der Industriellen Betriebe (DIB)
2018-11-28,2018/465,Markus Kunz,Grüne,Michael Kraft,SP,Departement der Industriellen Betriebe (DIB)
2014-04-16,2014/127,Helen Glaser,SP,Alexander Jäger,FDP,Gesundheits- und Umweltdepartement (GUD)
2015-10-21,2015/334,Pascal Lamprecht,SP,Ursula Uttinger,FDP,Gesundheits- und Umweltdepartement (GUD)
2010-06-23,2010/271,Daniel Meier,CVP,Theo Hauri,SVP,Departement der Industriellen Betriebe (DIB)
2013-06-19,2013/239,Gerhard Bosshard,EVP,Esther Straub,SP,Präsidialdepartement (PRD)
2018-02-07,2018/65,Michael Kraft,SP,Sven Sobernheim,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2016-10-05,2016/340,Urs Helfenstein,SP,Karin Rykart Sutter,Grüne,Hochbaudepartement (HBD)
2003-06-11,2003/205,Susi Gut,PFZ,Bruno Wohler,SVP,Gesundheits- und Umweltdepartement (GUD)
2007-12-05,2007/635,Walter Angst,AL,Ernst Danner,EVP,Finanzdepartement (FD)
2015-08-19,2015/268,Simone Brander,SP,Marc Bourgeois,FDP,Departement der Industriellen Betriebe (DIB)
2010-07-14,2010/311,Dorothea Frei,SP,Severin Pflüger,FDP,Finanzdepartement (FD)
2007-04-11,2007/184,Marcel Savarioud,SP,Josef Widler,CVP,Sozialdepartement (SD)
2006-03-01,2006/65,Niklaus Scherr,AL,Alexander Jäger,FDP,Departement der Industriellen Betriebe (DIB)
2017-11-01,2017/379,Pascal Lamprecht,SP,Markus Baumann,GLP,Sicherheitsdepartement (SID)
2016-04-20,2016/142,Sven Sobernheim,GLP,Markus Kunz,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2004-06-02,2004/286,Markus Schwyn,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
2015-01-28,2015/31,Marcel Bührig,Grüne,Markus Hungerbühler,CVP,Gesundheits- und Umweltdepartement (GUD)
2002-12-20,2002/566,Susann Birrer,FDP,Claudia Nielsen,SP,Tiefbau- und Entsorgungsdepartement (TED)
2011-12-07,2011/466,Peter Küng,SP,Marcel Schönbächler,CVP,Schul- und Sportdepartement (SSD)
2019-11-20,2019/500,Markus Merki,GLP,Andreas Kirstein,AL,Tiefbau- und Entsorgungsdepartement (TED)
2011-12-07,2011/472,Bernhard Piller,Grüne,Helen Glaser,SP,Departement der Industriellen Betriebe (DIB)
2009-11-11,2009/516,Heinz F. Steger,FDP,Uschi Heinrich,SP,Tiefbau- und Entsorgungsdepartement (TED)
2007-07-04,2007/384,Claudia Simon,FDP,Kurt Hüssy,SVP,Tiefbau- und Entsorgungsdepartement (TED)
2019-11-27,2019/516,Christina Schiller,AL,Vera Ziswiler,SP,Sicherheitsdepartement (SID)
2011-08-31,2011/316,Markus Knauss,Grüne,Samuel Dubno,GLP,Polizeidepartement (PD)
2009-06-10,2009/258,Monika Bloch Süss,CSP,Marlène Butz,SP,Polizeidepartement (PD)
2004-06-02,2004/284,Markus Schwyn,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
2001-01-31,2001/52,Markus Schwyn,PFZ,Christian Mettler,SVP,Präsidialdepartement (PRD)
2008-01-23,2008/62,Christine Seidler,SP,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2006-05-10,2006/168,Susi Gut,PFZ,Hedy Schlatter,SVP,Departement der Industriellen Betriebe (DIB)
2007-07-11,2007/409,Kyriakos Papageorgiou,SP,Alexander Jäger,FDP,Departement der Industriellen Betriebe (DIB)
2006-09-20,2006/395,Myrtha Meuli,SP,Josef Widler,CVP,Sozialdepartement (SD)
2010-07-14,2010/313,Andrew Katumba,SP,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2003-06-11,2003/207,Heidi Bucher-Steinegger,Grüne,Walter Angst,AL,Schul- und Sportdepartement (SSD)
2016-10-05,2016/342,Marco Denoth,SP,Martin Luchsinger,GLP,Sicherheitsdepartement (SID)
2005-07-06,2005/281,Bernhard Piller,Grüne,Christine Stokar Gasser,SP,Tiefbau- und Entsorgungsdepartement (TED)
2006-09-27,2006/418,Matthias Probst,Grüne,Richard Rabelbauer,EVP,Präsidialdepartement (PRD)
2018-12-31,2018/315,Isabel Garcia,GLP,Michael Schmid,FDP,Schul- und Sportdepartement (SSD)
2016-01-06,2016/9,Markus Baumann,GLP,Alan David Sangines,SP,Präsidialdepartement (PRD)
2005-11-09,2005/450,Susi Gut,PFZ,Roger Bartholdi,SVP,Gesundheits- und Umweltdepartement (GUD)
2006-12-15,2006/593,Daniela Schicker,AL,Peider Filli,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2008-06-25,2008/301,Gabriele Kisker,Grüne,Monika Bloch Süss,CSP,Schul- und Sportdepartement (SSD)
2000-11-01,2000/529,Markus Schwyn,PFZ,Mauro Tuena,SVP,Finanzdepartement (FD)
2004-03-10,2004/119,Alexander Jäger,FDP,Willy Furter,EVP,Schul- und Sportdepartement (SSD)
2010-12-15,2010/529,Christina Hug,Grüne,Claudia Rabelbauer,EVP,Schul- und Sportdepartement (SSD)
2012-04-18,2012/174,Katrin Wüthrich,SP,Marcel Schönbächler,CVP,Hochbaudepartement (HBD)
2006-06-07,2006/222,Christine Seidler,SP,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2003-10-29,2003/401,Mauro Tuena,SVP,Susi Gut,PFZ,Stadtschreiber/in (STS)
2006-11-29,2006/550,Markus Knauss,Grüne,Richard Rabelbauer,EVP,Gesundheits- und Umweltdepartement (GUD)
2006-12-06,2006/578,Marlène Butz,SP,Theresa G. Hensch-Stadelmann,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2014-03-12,2014/73,Albert Leiser,FDP,Markus Hungerbühler,CVP,Finanzdepartement (FD)
2019-07-03,2019/310,Monika Bätschmann,Grüne,Christine Seidler,SP,Tiefbau- und Entsorgungsdepartement (TED)
2012-10-31,2012/389,Min Li Marti,SP,Isabel Garcia,GLP,Präsidialdepartement (PRD)
2019-07-10,2019/338,Balz Bürgisser,Grüne,Jean-Daniel Strub,SP,Schul- und Sportdepartement (SSD)
2007-05-09,2007/233,Ernst Danner,EVP,Jean-Claude Virchaux,CVP,Schul- und Sportdepartement (SSD)
2002-10-02,2002/404,Christoph Hug,Grüne,Gerold Lauber,CVP,Präsidialdepartement (PRD)
2017-07-05,2017/227,Heidi Egger,SP,Reto Rudolf,CVP,Sicherheitsdepartement (SID)
2003-05-21,2003/171,Georg Schmid,CVP,Ernst Danner,EVP,Polizeidepartement (PD)
2004-12-31,2004/482,Roger Liebi,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
2019-11-13,2019/489,Pascal Lamprecht,SP,Marcel Müller,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2007-10-24,2007/569,Claudia Simon,FDP,Ruth Anhorn,SVP,Schul- und Sportdepartement (SSD)
2001-12-31,2001/289,Christoph Hug,Grüne,Joe A. Manser,SP,Hochbaudepartement (HBD)
2001-05-30,2001/288,Markus Schwyn,PFZ,Christopher Vohdin,SVP,Präsidialdepartement (PRD)
2012-05-09,2007/232,Jean-Claude Virchaux,CVP,Ernst Danner,EVP,Schul- und Sportdepartement (SSD)
2017-07-05,2017/226,Christine Seidler,SP,Mario Mariani,CVP,Präsidialdepartement (PRD)
2019-07-03,2019/311,Zilla Roose,SP,Markus Merki,GLP,Schul- und Sportdepartement (SSD)
2013-12-04,2013/428,Samuel Dubno,GLP,Marc Bourgeois,FDP,Präsidialdepartement (PRD)
2003-12-31,2003/366,Roger Bartholdi,SVP,Markus Schwyn,PFZ,Departement der Industriellen Betriebe (DIB)
2012-04-18,2012/175,Daniel Meier,CVP,Florian Utz,SP,Finanzdepartement (FD)
2016-01-06,2016/8,Markus Knauss,Grüne,Marco Denoth,SP,Finanzdepartement (FD)
2004-03-10,2004/124,Ernst Danner,EVP,Kurt Maeder,CVP,Finanzdepartement (FD)
1999-03-10,1999/93,Markus Bischoff,AL,Balthasar Glättli,Grüne,Polizeidepartement (PD)
2015-10-21,2015/337,Urs Helfenstein,SP,Markus Knauss,Grüne,Polizeidepartement (PD)
2008-07-02,2008/314,Min Li Marti,SP,Christina Hug,Grüne,Präsidialdepartement (PRD)
2010-06-16,2010/266,Florian Utz,SP,Guido Trevisan,GLP,Polizeidepartement (PD)
2007-12-05,2007/636,Walter Angst,AL,Jacqueline Badran,SP,Finanzdepartement (FD)
2018-02-07,2018/66,Marcel Tobler,SP,Isabel Garcia,GLP,Präsidialdepartement (PRD)
2000-09-13,2000/448,Markus Schwyn,PFZ,Theo Hauri,SVP,Hochbaudepartement (HBD)
2016-11-02,2016/380,Ezgi Akyol,AL,Linda Bär,SP,Sozialdepartement (SD)
2010-07-14,2010/312,Marianne Dubs Früh,SP,Thomas Wyss,Grüne,Departement der Industriellen Betriebe (DIB)
1999-07-14,1999/334,Markus Bischoff,AL,Reto Dettli,SP,Hochbaudepartement (HBD)
1999-07-07,1999/320,Kurt Tschopp,CVP,Rolf Kuhn,SP,Tiefbau- und Entsorgungsdepartement (TED)
2006-05-10,2006/169,Peider Filli,Grüne,Niklaus Scherr,AL,Finanzdepartement (FD)
1998-01-28,1998/38,Luzi Rüegg,SVP,Köbi Möri,Parteilos,Hochbaudepartement (HBD)
2004-06-02,2004/285,Markus Schwyn,PFZ,Monika Erfigen,SVP,Präsidialdepartement (PRD)
