Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
2018-10-03,2018/387,Marcel Bührig,Grüne,Isabel Garcia,GLP,Gesundheits- und Umweltdepartement (GUD)
2013-01-16,2013/17,Florian Utz,SP,Michèle Halser-Furrer,EVP,Finanzdepartement (FD)
2004-03-31,2004/174,Susi Gut,PFZ,Bruno Wohler,SVP,Hochbaudepartement (HBD)
2009-12-31,2009/143,Claudia Nielsen,SP,Markus Knauss,Grüne,Polizeidepartement (PD)
2003-12-10,2003/487,Daniel Leupi,Grüne,Ernst Danner,EVP,Polizeidepartement (PD)
2005-10-26,2005/429,Susi Gut,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
2016-12-21,2016/461,Pawel Silberring,SP,Christian Traber,CVP,Sicherheitsdepartement (SID)
2003-12-31,2003/256,Balthasar Glättli,Grüne,Mark Roth,SP,Finanzdepartement (FD)
2002-01-30,2002/46,Balthasar Glättli,Grüne,Joe A. Manser,SP,Finanzdepartement (FD)
2013-08-28,2013/295,Simon Kälin-Werth,Grüne,Martin Luchsinger,GLP,Tiefbau- und Entsorgungsdepartement (TED)
2005-05-25,2005/207,Hans Jörg Käppeli,SP,Heinz F. Steger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2008-01-16,2008/33,Marlène Butz,SP,Astrid Hirzel,CVP,Polizeidepartement (PD)
2006-01-25,2006/22,Andreas Ammann,SP,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
1999-09-01,1999/402,Renate Fässler,SP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
2006-05-03,2006/139,Marlène Butz,SP,Robert Schönbächler,CVP,Departement der Industriellen Betriebe (DIB)
2008-01-09,2008/3,Joe A. Manser,SP,Mario Mariani,CVP,Präsidialdepartement (PRD)
2004-04-07,2004/202,Alecs Recher,AL,Muriel Herzig,Grüne,Sozialdepartement (SD)
2009-11-25,2009/547,André Odermatt,SP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2004-11-03,2004/570,Susi Gut,PFZ,Roger Bartholdi,SVP,Tiefbau- und Entsorgungsdepartement (TED)
